"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
8.7242e-07,1.8251e-07,3.0884e-07,8000,-2558.3,-4282
8.7242e-07,1.8251e-07,3.0884e-07,8000,-2558.3,-4282
8.7242e-07,1.8251e-07,3.0884e-07,8000,-2558.3,-4282
1.0952e-07,4.6553e-08,-1.1962e-08,8000,-3185.7,-4895.1
7.4652e-08,2.8786e-08,3.2526e-09,8000,-3259.6,-5000
1.0291e-07,2.5443e-08,1.1134e-08,8000,-3129.1,-5000
6.8578e-08,-1.035e-07,1.6189e-08,8000,-1853.6,-3250.1
5.1416e-08,-8.3951e-08,2.1537e-08,8000,-1820.1,-3332.4
6.8578e-08,-1.035e-07,1.6189e-08,8000,-1853.6,-3250.1
1.0952e-07,4.6553e-08,-1.1962e-08,8000,-3185.7,-4895.1
1.5772e-07,4.9761e-08,3.4045e-08,8000,-3064.4,-4721.6
1.1897e-07,8.383e-09,1.6997e-08,8000,-3283.4,-4694.6
8.3763e-07,6.294e-07,-1.6705e-08,8000,-2803.8,-3220.6
8.3763e-07,6.294e-07,-1.6705e-08,8000,-2803.8,-3220.6
8.3763e-07,6.294e-07,-1.6705e-08,8000,-2803.8,-3220.6
4.8959e-07,7.8634e-08,-1.1142e-07,8000,-3062.1,-3743.6
4.8959e-07,7.8634e-08,-1.1142e-07,8000,-3062.1,-3743.6
4.8959e-07,7.8634e-08,-1.1142e-07,8000,-3062.1,-3743.6
2.1871e-07,1.063e-07,3.6505e-08,8000,-2907.2,-4559.9
2.1871e-07,1.063e-07,3.6505e-08,8000,-2907.2,-4559.9
2.1871e-07,1.063e-07,3.6505e-08,8000,-2907.2,-4559.9
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
6.7143e-07,3.7127e-07,9.976e-08,8000,-2937.1,-3500.8
8.3763e-07,6.294e-07,-1.6705e-08,8000,-2803.8,-3220.6
6.7143e-07,3.7127e-07,9.976e-08,8000,-2937.1,-3500.8
6.7143e-07,3.7127e-07,9.976e-08,8000,-2937.1,-3500.8
8.3763e-07,6.294e-07,-1.6705e-08,8000,-2803.8,-3220.6
8.3763e-07,6.294e-07,-1.6705e-08,8000,-2803.8,-3220.6
1.9173e-08,-6.4275e-08,3.0721e-08,8000,-1653.8,-3791.8
1.9173e-08,-6.4275e-08,3.0721e-08,8000,-1653.8,-3791.8
1.9173e-08,-6.4275e-08,3.0721e-08,8000,-1653.8,-3791.8
6.8578e-08,-1.035e-07,1.6189e-08,8000,-1853.6,-3250.1
6.8578e-08,-1.035e-07,1.6189e-08,8000,-1853.6,-3250.1
6.8578e-08,-1.035e-07,1.6189e-08,8000,-1853.6,-3250.1
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
2.0305e-06,-6.5597e-07,2.0223e-07,8000,-2560.9,-3773.3
2.0305e-06,-6.5597e-07,2.0223e-07,8000,-2560.9,-3773.3
2.0305e-06,-6.5597e-07,2.0223e-07,8000,-2560.9,-3773.3
6.8578e-08,-1.035e-07,1.6189e-08,8000,-1853.6,-3250.1
5.1416e-08,-8.3951e-08,2.1537e-08,8000,-1820.1,-3332.4
6.8578e-08,-1.035e-07,1.6189e-08,8000,-1853.6,-3250.1
4.8959e-07,7.8634e-08,-1.1142e-07,8000,-3062.1,-3743.6
4.8959e-07,7.8634e-08,-1.1142e-07,8000,-3062.1,-3743.6
4.8959e-07,7.8634e-08,-1.1142e-07,8000,-3062.1,-3743.6
6.7143e-07,3.7127e-07,9.976e-08,8000,-2937.1,-3500.8
6.7143e-07,3.7127e-07,9.976e-08,8000,-2937.1,-3500.8
1.3059e-06,7.4366e-07,1.3894e-07,8000,-2802.9,-3778
1.3059e-06,7.4366e-07,1.3894e-07,8000,-2802.9,-3778
6.7143e-07,3.7127e-07,9.976e-08,8000,-2937.1,-3500.8
1.3059e-06,7.4366e-07,1.3894e-07,8000,-2802.9,-3778
7.1449e-07,-2.1927e-07,1.7099e-07,8000,-1691.9,-2568.1
7.1449e-07,-2.1927e-07,1.7099e-07,8000,-1691.9,-2568.1
7.1449e-07,-2.1927e-07,1.7099e-07,8000,-1691.9,-2568.1
1.3066e-06,2.2837e-07,2.2325e-07,8000,-2666.3,-4053.3
2.0305e-06,-6.5597e-07,2.0223e-07,8000,-2560.9,-3773.3
1.3066e-06,2.2837e-07,2.2325e-07,8000,-2666.3,-4053.3
1.3066e-06,2.2837e-07,2.2325e-07,8000,-2666.3,-4053.3
2.0305e-06,-6.5597e-07,2.0223e-07,8000,-2560.9,-3773.3
2.0305e-06,-6.5597e-07,2.0223e-07,8000,-2560.9,-3773.3
3.0759e-08,-6.1623e-08,-2.4819e-08,8000,-1647.1,-4114.8
3.0759e-08,-6.1623e-08,-2.4819e-08,8000,-1647.1,-4114.8
3.0759e-08,-6.1623e-08,-2.4819e-08,8000,-1647.1,-4114.8
7.9184e-07,1.5931e-07,-1.3346e-07,8000,-2669.7,-2945.4
7.9184e-07,1.5931e-07,-1.3346e-07,8000,-2669.7,-2945.4
7.9184e-07,1.5931e-07,-1.3346e-07,8000,-2669.7,-2945.4
8.3763e-07,6.294e-07,-1.6705e-08,8000,-2803.8,-3220.6
8.3763e-07,6.294e-07,-1.6705e-08,8000,-2803.8,-3220.6
7.9184e-07,1.5931e-07,-1.3346e-07,8000,-2669.7,-2945.4
7.9184e-07,1.5931e-07,-1.3346e-07,8000,-2669.7,-2945.4
8.3763e-07,6.294e-07,-1.6705e-08,8000,-2803.8,-3220.6
7.9184e-07,1.5931e-07,-1.3346e-07,8000,-2669.7,-2945.4
8.7242e-07,1.8251e-07,3.0884e-07,8000,-2558.3,-4282
8.7242e-07,1.8251e-07,3.0884e-07,8000,-2558.3,-4282
8.7242e-07,1.8251e-07,3.0884e-07,8000,-2558.3,-4282
8.7242e-07,1.8251e-07,3.0884e-07,8000,-2558.3,-4282
8.7242e-07,1.8251e-07,3.0884e-07,8000,-2558.3,-4282
1.3066e-06,2.2837e-07,2.2325e-07,8000,-2666.3,-4053.3
1.3066e-06,2.2837e-07,2.2325e-07,8000,-2666.3,-4053.3
8.7242e-07,1.8251e-07,3.0884e-07,8000,-2558.3,-4282
1.3066e-06,2.2837e-07,2.2325e-07,8000,-2666.3,-4053.3
6.8578e-08,-1.035e-07,1.6189e-08,8000,-1853.6,-3250.1
6.8578e-08,-1.035e-07,1.6189e-08,8000,-1853.6,-3250.1
6.8578e-08,-1.035e-07,1.6189e-08,8000,-1853.6,-3250.1
1.3066e-06,2.2837e-07,2.2325e-07,8000,-2666.3,-4053.3
1.3066e-06,2.2837e-07,2.2325e-07,8000,-2666.3,-4053.3
1.3066e-06,2.2837e-07,2.2325e-07,8000,-2666.3,-4053.3
1.3059e-06,7.4366e-07,1.3894e-07,8000,-2802.9,-3778
1.3059e-06,7.4366e-07,1.3894e-07,8000,-2802.9,-3778
1.3059e-06,7.4366e-07,1.3894e-07,8000,-2802.9,-3778
1.3066e-06,2.2837e-07,2.2325e-07,8000,-2666.3,-4053.3
1.3066e-06,2.2837e-07,2.2325e-07,8000,-2666.3,-4053.3
1.3059e-06,7.4366e-07,1.3894e-07,8000,-2802.9,-3778
1.3059e-06,7.4366e-07,1.3894e-07,8000,-2802.9,-3778
1.3066e-06,2.2837e-07,2.2325e-07,8000,-2666.3,-4053.3
1.3059e-06,7.4366e-07,1.3894e-07,8000,-2802.9,-3778
1.9526e-07,1.0298e-07,-1.8701e-08,8000,-3167.6,-2499.6
1.9526e-07,1.0298e-07,-1.8701e-08,8000,-3167.6,-2499.6
1.9526e-07,1.0298e-07,-1.8701e-08,8000,-3167.6,-2499.6
1.1897e-07,8.383e-09,1.6997e-08,8000,-3283.4,-4694.6
1.1897e-07,8.383e-09,1.6997e-08,8000,-3283.4,-4694.6
1.5772e-07,4.9761e-08,3.4045e-08,8000,-3064.4,-4721.6
1.5772e-07,4.9761e-08,3.4045e-08,8000,-3064.4,-4721.6
1.1897e-07,8.383e-09,1.6997e-08,8000,-3283.4,-4694.6
1.5772e-07,4.9761e-08,3.4045e-08,8000,-3064.4,-4721.6
7.1449e-07,-2.1927e-07,1.7099e-07,8000,-1691.9,-2568.1
7.1449e-07,-2.1927e-07,1.7099e-07,8000,-1691.9,-2568.1
7.1449e-07,-2.1927e-07,1.7099e-07,8000,-1691.9,-2568.1
1.1897e-07,8.383e-09,1.6997e-08,8000,-3283.4,-4694.6
1.1897e-07,8.383e-09,1.6997e-08,8000,-3283.4,-4694.6
1.5772e-07,4.9761e-08,3.4045e-08,8000,-3064.4,-4721.6
1.5772e-07,4.9761e-08,3.4045e-08,8000,-3064.4,-4721.6
1.1897e-07,8.383e-09,1.6997e-08,8000,-3283.4,-4694.6
1.5772e-07,4.9761e-08,3.4045e-08,8000,-3064.4,-4721.6
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
1.9173e-08,-6.4275e-08,3.0721e-08,8000,-1653.8,-3791.8
1.9173e-08,-6.4275e-08,3.0721e-08,8000,-1653.8,-3791.8
1.9173e-08,-6.4275e-08,3.0721e-08,8000,-1653.8,-3791.8
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
2.1871e-07,1.063e-07,3.6505e-08,8000,-2907.2,-4559.9
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
2.1871e-07,1.063e-07,3.6505e-08,8000,-2907.2,-4559.9
2.1871e-07,1.063e-07,3.6505e-08,8000,-2907.2,-4559.9
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
2.5295e-07,1.0124e-07,2.5929e-08,8000,-3002.3,-4329
2.5295e-07,1.0124e-07,2.5929e-08,8000,-3002.3,-4329
4.037e-07,9.2324e-08,6.9172e-08,8000,-2777.2,-4304.7
