"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
4.9534e-07,2.934e-08,1.9353e-07,8000,-2558.3,-4282
4.9534e-07,2.934e-08,1.9353e-07,8000,-2558.3,-4282
4.9534e-07,2.934e-08,1.9353e-07,8000,-2558.3,-4282
1.048e-07,5.4187e-08,4.9401e-09,8000,-3185.7,-4895.1
8.1236e-08,3.1102e-08,1.7304e-08,8000,-3259.6,-5000
1.0274e-07,3.1527e-08,2.6213e-08,8000,-3129.1,-5000
1.7894e-07,-2.632e-07,6.1583e-08,8000,-1853.6,-3250.1
1.5137e-07,-2.2938e-07,5.1043e-08,8000,-1820.1,-3332.4
1.7894e-07,-2.632e-07,6.1583e-08,8000,-1853.6,-3250.1
1.048e-07,5.4187e-08,4.9401e-09,8000,-3185.7,-4895.1
1.5507e-07,7.3305e-08,6.4696e-08,8000,-3064.4,-4721.6
1.1779e-07,1.2328e-08,3.25e-08,8000,-3283.4,-4694.6
5.4523e-07,2.6908e-07,-1.0945e-07,8000,-2803.8,-3220.6
5.4523e-07,2.6908e-07,-1.0945e-07,8000,-2803.8,-3220.6
5.4523e-07,2.6908e-07,-1.0945e-07,8000,-2803.8,-3220.6
4.1058e-07,2.906e-07,6.0536e-08,8000,-3062.1,-3743.6
4.1058e-07,2.906e-07,6.0536e-08,8000,-3062.1,-3743.6
4.1058e-07,2.906e-07,6.0536e-08,8000,-3062.1,-3743.6
2.3012e-07,1.0865e-07,1.1053e-07,8000,-2907.2,-4559.9
2.3012e-07,1.0865e-07,1.1053e-07,8000,-2907.2,-4559.9
2.3012e-07,1.0865e-07,1.1053e-07,8000,-2907.2,-4559.9
3.7893e-07,2.0874e-07,1.6539e-07,8000,-2777.2,-4304.7
3.7893e-07,2.0874e-07,1.6539e-07,8000,-2777.2,-4304.7
3.7893e-07,2.0874e-07,1.6539e-07,8000,-2777.2,-4304.7
5.0086e-07,3.6635e-07,2.4022e-08,8000,-2937.1,-3500.8
5.4523e-07,2.6908e-07,-1.0945e-07,8000,-2803.8,-3220.6
5.0086e-07,3.6635e-07,2.4022e-08,8000,-2937.1,-3500.8
5.0086e-07,3.6635e-07,2.4022e-08,8000,-2937.1,-3500.8
5.4523e-07,2.6908e-07,-1.0945e-07,8000,-2803.8,-3220.6
5.4523e-07,2.6908e-07,-1.0945e-07,8000,-2803.8,-3220.6
9.7215e-08,-1.6014e-07,-5.5179e-08,8000,-1653.8,-3791.8
9.7215e-08,-1.6014e-07,-5.5179e-08,8000,-1653.8,-3791.8
9.7215e-08,-1.6014e-07,-5.5179e-08,8000,-1653.8,-3791.8
1.7894e-07,-2.632e-07,6.1583e-08,8000,-1853.6,-3250.1
1.7894e-07,-2.632e-07,6.1583e-08,8000,-1853.6,-3250.1
1.7894e-07,-2.632e-07,6.1583e-08,8000,-1853.6,-3250.1
3.7893e-07,2.0874e-07,1.6539e-07,8000,-2777.2,-4304.7
3.7893e-07,2.0874e-07,1.6539e-07,8000,-2777.2,-4304.7
3.7893e-07,2.0874e-07,1.6539e-07,8000,-2777.2,-4304.7
6.9397e-07,-1.3667e-07,1.2679e-07,8000,-2560.9,-3773.3
6.9397e-07,-1.3667e-07,1.2679e-07,8000,-2560.9,-3773.3
6.9397e-07,-1.3667e-07,1.2679e-07,8000,-2560.9,-3773.3
1.7894e-07,-2.632e-07,6.1583e-08,8000,-1853.6,-3250.1
1.5137e-07,-2.2938e-07,5.1043e-08,8000,-1820.1,-3332.4
1.7894e-07,-2.632e-07,6.1583e-08,8000,-1853.6,-3250.1
4.1058e-07,2.906e-07,6.0536e-08,8000,-3062.1,-3743.6
4.1058e-07,2.906e-07,6.0536e-08,8000,-3062.1,-3743.6
4.1058e-07,2.906e-07,6.0536e-08,8000,-3062.1,-3743.6
5.0086e-07,3.6635e-07,2.4022e-08,8000,-2937.1,-3500.8
5.0086e-07,3.6635e-07,2.4022e-08,8000,-2937.1,-3500.8
6.5116e-07,2.828e-07,1.1911e-07,8000,-2802.9,-3778
6.5116e-07,2.828e-07,1.1911e-07,8000,-2802.9,-3778
5.0086e-07,3.6635e-07,2.4022e-08,8000,-2937.1,-3500.8
6.5116e-07,2.828e-07,1.1911e-07,8000,-2802.9,-3778
3.1551e-07,-1.6186e-07,8.275e-08,8000,-1691.9,-2568.1
3.1551e-07,-1.6186e-07,8.275e-08,8000,-1691.9,-2568.1
3.1551e-07,-1.6186e-07,8.275e-08,8000,-1691.9,-2568.1
6.1133e-07,9.4906e-08,1.701e-07,8000,-2666.3,-4053.3
6.9397e-07,-1.3667e-07,1.2679e-07,8000,-2560.9,-3773.3
6.1133e-07,9.4906e-08,1.701e-07,8000,-2666.3,-4053.3
6.1133e-07,9.4906e-08,1.701e-07,8000,-2666.3,-4053.3
6.9397e-07,-1.3667e-07,1.2679e-07,8000,-2560.9,-3773.3
6.9397e-07,-1.3667e-07,1.2679e-07,8000,-2560.9,-3773.3
2.0976e-07,-1.9695e-07,-1.1656e-07,8000,-1647.1,-4114.8
2.0976e-07,-1.9695e-07,-1.1656e-07,8000,-1647.1,-4114.8
2.0976e-07,-1.9695e-07,-1.1656e-07,8000,-1647.1,-4114.8
5.3242e-07,1.3998e-07,-1.1742e-07,8000,-2669.7,-2945.4
5.3242e-07,1.3998e-07,-1.1742e-07,8000,-2669.7,-2945.4
5.3242e-07,1.3998e-07,-1.1742e-07,8000,-2669.7,-2945.4
5.4523e-07,2.6908e-07,-1.0945e-07,8000,-2803.8,-3220.6
5.4523e-07,2.6908e-07,-1.0945e-07,8000,-2803.8,-3220.6
5.3242e-07,1.3998e-07,-1.1742e-07,8000,-2669.7,-2945.4
5.3242e-07,1.3998e-07,-1.1742e-07,8000,-2669.7,-2945.4
5.4523e-07,2.6908e-07,-1.0945e-07,8000,-2803.8,-3220.6
5.3242e-07,1.3998e-07,-1.1742e-07,8000,-2669.7,-2945.4
4.9534e-07,2.934e-08,1.9353e-07,8000,-2558.3,-4282
4.9534e-07,2.934e-08,1.9353e-07,8000,-2558.3,-4282
4.9534e-07,2.934e-08,1.9353e-07,8000,-2558.3,-4282
4.9534e-07,2.934e-08,1.9353e-07,8000,-2558.3,-4282
4.9534e-07,2.934e-08,1.9353e-07,8000,-2558.3,-4282
6.1133e-07,9.4906e-08,1.701e-07,8000,-2666.3,-4053.3
6.1133e-07,9.4906e-08,1.701e-07,8000,-2666.3,-4053.3
4.9534e-07,2.934e-08,1.9353e-07,8000,-2558.3,-4282
6.1133e-07,9.4906e-08,1.701e-07,8000,-2666.3,-4053.3
1.7894e-07,-2.632e-07,6.1583e-08,8000,-1853.6,-3250.1
1.7894e-07,-2.632e-07,6.1583e-08,8000,-1853.6,-3250.1
1.7894e-07,-2.632e-07,6.1583e-08,8000,-1853.6,-3250.1
6.1133e-07,9.4906e-08,1.701e-07,8000,-2666.3,-4053.3
6.1133e-07,9.4906e-08,1.701e-07,8000,-2666.3,-4053.3
