"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
9.0621e-07,1.9652e-07,3.0612e-07,8000,-2558.3,-4282
9.0621e-07,1.9652e-07,3.0612e-07,8000,-2558.3,-4282
9.0621e-07,1.9652e-07,3.0612e-07,8000,-2558.3,-4282
1.1079e-07,4.7265e-08,-1.0374e-08,8000,-3185.7,-4895.1
7.5257e-08,3.1589e-08,2.0364e-09,8000,-3259.6,-5000
1.0321e-07,2.5387e-08,1.1117e-08,8000,-3129.1,-5000
1.205e-07,-1.3409e-07,2.1351e-08,8000,-1853.6,-3250.1
9.1028e-08,-1.0876e-07,2.2757e-08,8000,-1820.1,-3332.4
1.205e-07,-1.3409e-07,2.1351e-08,8000,-1853.6,-3250.1
1.1079e-07,4.7265e-08,-1.0374e-08,8000,-3185.7,-4895.1
1.5602e-07,4.2626e-08,2.9628e-08,8000,-3064.4,-4721.6
1.1994e-07,1.4057e-08,1.9149e-08,8000,-3283.4,-4694.6
8.0433e-07,6.2008e-07,4.1079e-08,8000,-2803.8,-3220.6
8.0433e-07,6.2008e-07,4.1079e-08,8000,-2803.8,-3220.6
8.0433e-07,6.2008e-07,4.1079e-08,8000,-2803.8,-3220.6
4.7308e-07,5.2568e-08,-1.2228e-07,8000,-3062.1,-3743.6
4.7308e-07,5.2568e-08,-1.2228e-07,8000,-3062.1,-3743.6
4.7308e-07,5.2568e-08,-1.2228e-07,8000,-3062.1,-3743.6
2.2366e-07,1.1361e-07,4.3116e-08,8000,-2907.2,-4559.9
2.2366e-07,1.1361e-07,4.3116e-08,8000,-2907.2,-4559.9
2.2366e-07,1.1361e-07,4.3116e-08,8000,-2907.2,-4559.9
3.8606e-07,3.013e-08,3.9117e-08,8000,-2777.2,-4304.7
3.8606e-07,3.013e-08,3.9117e-08,8000,-2777.2,-4304.7
3.8606e-07,3.013e-08,3.9117e-08,8000,-2777.2,-4304.7
6.1761e-07,2.7721e-07,1.2913e-07,8000,-2937.1,-3500.8
8.0433e-07,6.2008e-07,4.1079e-08,8000,-2803.8,-3220.6
6.1761e-07,2.7721e-07,1.2913e-07,8000,-2937.1,-3500.8
6.1761e-07,2.7721e-07,1.2913e-07,8000,-2937.1,-3500.8
8.0433e-07,6.2008e-07,4.1079e-08,8000,-2803.8,-3220.6
8.0433e-07,6.2008e-07,4.1079e-08,8000,-2803.8,-3220.6
3.8197e-08,-9.2719e-08,4.9604e-09,8000,-1653.8,-3791.8
