"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
3.5343e-07,7.6636e-09,1.3717e-07,8000,-2558.3,-4282
3.5343e-07,7.6636e-09,1.3717e-07,8000,-2558.3,-4282
3.5343e-07,7.6636e-09,1.3717e-07,8000,-2558.3,-4282
1.0129e-07,5.9263e-08,2.2041e-08,8000,-3185.7,-4895.1
8.401e-08,3.6084e-08,2.8092e-08,8000,-3259.6,-5000
1.0112e-07,3.5948e-08,3.9267e-08,8000,-3129.1,-5000
2.0823e-07,-2.4978e-07,5.1628e-08,8000,-1853.6,-3250.1
1.8913e-07,-2.3115e-07,4.1076e-08,8000,-1820.1,-3332.4
2.0823e-07,-2.4978e-07,5.1628e-08,8000,-1853.6,-3250.1
1.0129e-07,5.9263e-08,2.2041e-08,8000,-3185.7,-4895.1
1.4821e-07,8.0762e-08,8.2268e-08,8000,-3064.4,-4721.6
1.1554e-07,2.6008e-08,4.809e-08,8000,-3283.4,-4694.6
3.8097e-07,1.5119e-07,-6.9501e-08,8000,-2803.8,-3220.6
3.8097e-07,1.5119e-07,-6.9501e-08,8000,-2803.8,-3220.6
3.8097e-07,1.5119e-07,-6.9501e-08,8000,-2803.8,-3220.6
3.1024e-07,2.1215e-07,6.1117e-08,8000,-3062.1,-3743.6
3.1024e-07,2.1215e-07,6.1117e-08,8000,-3062.1,-3743.6
3.1024e-07,2.1215e-07,6.1117e-08,8000,-3062.1,-3743.6
2.0838e-07,8.7368e-08,1.1657e-07,8000,-2907.2,-4559.9
2.0838e-07,8.7368e-08,1.1657e-07,8000,-2907.2,-4559.9
2.0838e-07,8.7368e-08,1.1657e-07,8000,-2907.2,-4559.9
2.9293e-07,1.3502e-07,1.3652e-07,8000,-2777.2,-4304.7
2.9293e-07,1.3502e-07,1.3652e-07,8000,-2777.2,-4304.7
2.9293e-07,1.3502e-07,1.3652e-07,8000,-2777.2,-4304.7
3.5727e-07,2.2575e-07,2.1214e-08,8000,-2937.1,-3500.8
3.8097e-07,1.5119e-07,-6.9501e-08,8000,-2803.8,-3220.6
3.5727e-07,2.2575e-07,2.1214e-08,8000,-2937.1,-3500.8
3.5727e-07,2.2575e-07,2.1214e-08,8000,-2937.1,-3500.8
3.8097e-07,1.5119e-07,-6.9501e-08,8000,-2803.8,-3220.6
3.8097e-07,1.5119e-07,-6.9501e-08,8000,-2803.8,-3220.6
1.4128e-07,-1.8726e-07,-4.2456e-08,8000,-1653.8,-3791.8
1.4128e-07,-1.8726e-07,-4.2456e-08,8000,-1653.8,-3791.8
1.4128e-07,-1.8726e-07,-4.2456e-08,8000,-1653.8,-3791.8
2.0823e-07,-2.4978e-07,5.1628e-08,8000,-1853.6,-3250.1
2.0823e-07,-2.4978e-07,5.1628e-08,8000,-1853.6,-3250.1
2.0823e-07,-2.4978e-07,5.1628e-08,8000,-1853.6,-3250.1
2.9293e-07,1.3502e-07,1.3652e-07,8000,-2777.2,-4304.7
2.9293e-07,1.3502e-07,1.3652e-07,8000,-2777.2,-4304.7
