"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
4.3018e-08,-1.8157e-08,1.5311e-08,8000,-2558.3,-4282
4.3018e-08,-1.8157e-08,1.5311e-08,8000,-2558.3,-4282
4.3018e-08,-1.8157e-08,1.5311e-08,8000,-2558.3,-4282
3.9524e-08,-1.6404e-08,1.2048e-08,8000,-3185.7,-4895.1
4.0036e-08,-1.6199e-08,1.067e-08,8000,-3259.6,-5000
4.0414e-08,-1.7725e-08,1.1537e-08,8000,-3129.1,-5000
4.0408e-08,-1.6839e-08,2.389e-08,8000,-1853.6,-3250.1
4.1168e-08,-1.7002e-08,2.3059e-08,8000,-1820.1,-3332.4
4.0408e-08,-1.6839e-08,2.389e-08,8000,-1853.6,-3250.1
3.9524e-08,-1.6404e-08,1.2048e-08,8000,-3185.7,-4895.1
4.0727e-08,-1.8291e-08,1.2709e-08,8000,-3064.4,-4721.6
3.8862e-08,-1.7915e-08,1.2465e-08,8000,-3283.4,-4694.6
3.5482e-08,-1.457e-08,1.95e-08,8000,-2803.8,-3220.6
3.5482e-08,-1.457e-08,1.95e-08,8000,-2803.8,-3220.6
3.5482e-08,-1.457e-08,1.95e-08,8000,-2803.8,-3220.6
3.6733e-08,-1.5524e-08,1.638e-08,8000,-3062.1,-3743.6
3.6733e-08,-1.5524e-08,1.638e-08,8000,-3062.1,-3743.6
3.6733e-08,-1.5524e-08,1.638e-08,8000,-3062.1,-3743.6
4.2004e-08,-1.8129e-08,1.3827e-08,8000,-2907.2,-4559.9
4.2004e-08,-1.8129e-08,1.3827e-08,8000,-2907.2,-4559.9
4.2004e-08,-1.8129e-08,1.3827e-08,8000,-2907.2,-4559.9
4.0978e-08,-1.7377e-08,1.5651e-08,8000,-2777.2,-4304.7
4.0978e-08,-1.7377e-08,1.5651e-08,8000,-2777.2,-4304.7
4.0978e-08,-1.7377e-08,1.5651e-08,8000,-2777.2,-4304.7
3.6132e-08,-1.5019e-08,1.9219e-08,8000,-2937.1,-3500.8
3.5482e-08,-1.457e-08,1.95e-08,8000,-2803.8,-3220.6
3.6132e-08,-1.5019e-08,1.9219e-08,8000,-2937.1,-3500.8
3.6132e-08,-1.5019e-08,1.9219e-08,8000,-2937.1,-3500.8
3.5482e-08,-1.457e-08,1.95e-08,8000,-2803.8,-3220.6
3.5482e-08,-1.457e-08,1.95e-08,8000,-2803.8,-3220.6
4.5973e-08,-1.8331e-08,2.1553e-08,8000,-1653.8,-3791.8
4.5973e-08,-1.8331e-08,2.1553e-08,8000,-1653.8,-3791.8
4.5973e-08,-1.8331e-08,2.1553e-08,8000,-1653.8,-3791.8
4.0408e-08,-1.6839e-08,2.389e-08,8000,-1853.6,-3250.1
4.0408e-08,-1.6839e-08,2.389e-08,8000,-1853.6,-3250.1
4.0408e-08,-1.6839e-08,2.389e-08,8000,-1853.6,-3250.1
4.0978e-08,-1.7377e-08,1.5651e-08,8000,-2777.2,-4304.7
4.0978e-08,-1.7377e-08,1.5651e-08,8000,-2777.2,-4304.7
4.0978e-08,-1.7377e-08,1.5651e-08,8000,-2777.2,-4304.7
4.0455e-08,-1.7032e-08,1.8264e-08,8000,-2560.9,-3773.3
4.0455e-08,-1.7032e-08,1.8264e-08,8000,-2560.9,-3773.3
4.0455e-08,-1.7032e-08,1.8264e-08,8000,-2560.9,-3773.3
4.0408e-08,-1.6839e-08,2.389e-08,8000,-1853.6,-3250.1
4.1168e-08,-1.7002e-08,2.3059e-08,8000,-1820.1,-3332.4
4.0408e-08,-1.6839e-08,2.389e-08,8000,-1853.6,-3250.1
3.6733e-08,-1.5524e-08,1.638e-08,8000,-3062.1,-3743.6
3.6733e-08,-1.5524e-08,1.638e-08,8000,-3062.1,-3743.6
3.6733e-08,-1.5524e-08,1.638e-08,8000,-3062.1,-3743.6
3.6132e-08,-1.5019e-08,1.9219e-08,8000,-2937.1,-3500.8
3.6132e-08,-1.5019e-08,1.9219e-08,8000,-2937.1,-3500.8
3.8728e-08,-1.6968e-08,1.7818e-08,8000,-2802.9,-3778
3.8728e-08,-1.6968e-08,1.7818e-08,8000,-2802.9,-3778
3.6132e-08,-1.5019e-08,1.9219e-08,8000,-2937.1,-3500.8
3.8728e-08,-1.6968e-08,1.7818e-08,8000,-2802.9,-3778
3.4207e-08,-1.4413e-08,2.6183e-08,8000,-1691.9,-2568.1
3.4207e-08,-1.4413e-08,2.6183e-08,8000,-1691.9,-2568.1
3.4207e-08,-1.4413e-08,2.6183e-08,8000,-1691.9,-2568.1
4.1142e-08,-1.7217e-08,1.7363e-08,8000,-2666.3,-4053.3
4.0455e-08,-1.7032e-08,1.8264e-08,8000,-2560.9,-3773.3
4.1142e-08,-1.7217e-08,1.7363e-08,8000,-2666.3,-4053.3
4.1142e-08,-1.7217e-08,1.7363e-08,8000,-2666.3,-4053.3
4.0455e-08,-1.7032e-08,1.8264e-08,8000,-2560.9,-3773.3
4.0455e-08,-1.7032e-08,1.8264e-08,8000,-2560.9,-3773.3
4.7211e-08,-1.8562e-08,1.7857e-08,8000,-1647.1,-4114.8
4.7211e-08,-1.8562e-08,1.7857e-08,8000,-1647.1,-4114.8
4.7211e-08,-1.8562e-08,1.7857e-08,8000,-1647.1,-4114.8
3.4669e-08,-1.4536e-08,2.2083e-08,8000,-2669.7,-2945.4
3.4669e-08,-1.4536e-08,2.2083e-08,8000,-2669.7,-2945.4
3.4669e-08,-1.4536e-08,2.2083e-08,8000,-2669.7,-2945.4
3.5482e-08,-1.457e-08,1.95e-08,8000,-2803.8,-3220.6
3.5482e-08,-1.457e-08,1.95e-08,8000,-2803.8,-3220.6
3.4669e-08,-1.4536e-08,2.2083e-08,8000,-2669.7,-2945.4
3.4669e-08,-1.4536e-08,2.2083e-08,8000,-2669.7,-2945.4
3.5482e-08,-1.457e-08,1.95e-08,8000,-2803.8,-3220.6
3.4669e-08,-1.4536e-08,2.2083e-08,8000,-2669.7,-2945.4
4.3018e-08,-1.8157e-08,1.5311e-08,8000,-2558.3,-4282
4.3018e-08,-1.8157e-08,1.5311e-08,8000,-2558.3,-4282
4.3018e-08,-1.8157e-08,1.5311e-08,8000,-2558.3,-4282
4.3018e-08,-1.8157e-08,1.5311e-08,8000,-2558.3,-4282
4.3018e-08,-1.8157e-08,1.5311e-08,8000,-2558.3,-4282
4.1142e-08,-1.7217e-08,1.7363e-08,8000,-2666.3,-4053.3
4.1142e-08,-1.7217e-08,1.7363e-08,8000,-2666.3,-4053.3
4.3018e-08,-1.8157e-08,1.5311e-08,8000,-2558.3,-4282
4.1142e-08,-1.7217e-08,1.7363e-08,8000,-2666.3,-4053.3
4.0408e-08,-1.6839e-08,2.389e-08,8000,-1853.6,-3250.1
