"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
4.7955e-07,2.6415e-08,1.8707e-07,8000,-2558.3,-4282
4.7955e-07,2.6415e-08,1.8707e-07,8000,-2558.3,-4282
4.7955e-07,2.6415e-08,1.8707e-07,8000,-2558.3,-4282
1.0443e-07,5.4736e-08,6.3474e-09,8000,-3185.7,-4895.1
8.1553e-08,3.1577e-08,1.8255e-08,8000,-3259.6,-5000
1.0259e-07,3.1895e-08,2.7346e-08,8000,-3129.1,-5000
1.8503e-07,-2.6592e-07,6.1764e-08,8000,-1853.6,-3250.1
1.5791e-07,-2.3336e-07,5.077e-08,8000,-1820.1,-3332.4
1.8503e-07,-2.6592e-07,6.1764e-08,8000,-1853.6,-3250.1
1.0443e-07,5.4736e-08,6.3474e-09,8000,-3185.7,-4895.1
1.5475e-07,7.4812e-08,6.7043e-08,8000,-3064.4,-4721.6
1.1772e-07,1.3565e-08,3.3957e-08,8000,-3283.4,-4694.6
5.27e-07,2.5439e-07,-1.0538e-07,8000,-2803.8,-3220.6
5.27e-07,2.5439e-07,-1.0538e-07,8000,-2803.8,-3220.6
5.27e-07,2.5439e-07,-1.0538e-07,8000,-2803.8,-3220.6
4.0026e-07,2.8427e-07,6.1942e-08,8000,-3062.1,-3743.6
4.0026e-07,2.8427e-07,6.1942e-08,8000,-3062.1,-3743.6
4.0026e-07,2.8427e-07,6.1942e-08,8000,-3062.1,-3743.6
2.2895e-07,1.0709e-07,1.1268e-07,8000,-2907.2,-4559.9
2.2895e-07,1.0709e-07,1.1268e-07,8000,-2907.2,-4559.9
2.2895e-07,1.0709e-07,1.1268e-07,8000,-2907.2,-4559.9
3.7061e-07,2.0131e-07,1.6322e-07,8000,-2777.2,-4304.7
3.7061e-07,2.0131e-07,1.6322e-07,8000,-2777.2,-4304.7
3.7061e-07,2.0131e-07,1.6322e-07,8000,-2777.2,-4304.7
4.8522e-07,3.506e-07,2.36e-08,8000,-2937.1,-3500.8
5.27e-07,2.5439e-07,-1.0538e-07,8000,-2803.8,-3220.6
4.8522e-07,3.506e-07,2.36e-08,8000,-2937.1,-3500.8
4.8522e-07,3.506e-07,2.36e-08,8000,-2937.1,-3500.8
5.27e-07,2.5439e-07,-1.0538e-07,8000,-2803.8,-3220.6
5.27e-07,2.5439e-07,-1.0538e-07,8000,-2803.8,-3220.6
1.0326e-07,-1.6561e-07,-5.6054e-08,8000,-1653.8,-3791.8
1.0326e-07,-1.6561e-07,-5.6054e-08,8000,-1653.8,-3791.8
1.0326e-07,-1.6561e-07,-5.6054e-08,8000,-1653.8,-3791.8
1.8503e-07,-2.6592e-07,6.1764e-08,8000,-1853.6,-3250.1
1.8503e-07,-2.6592e-07,6.1764e-08,8000,-1853.6,-3250.1
1.8503e-07,-2.6592e-07,6.1764e-08,8000,-1853.6,-3250.1
3.7061e-07,2.0131e-07,1.6322e-07,8000,-2777.2,-4304.7
3.7061e-07,2.0131e-07,1.6322e-07,8000,-2777.2,-4304.7
3.7061e-07,2.0131e-07,1.6322e-07,8000,-2777.2,-4304.7
6.6218e-07,-1.2759e-07,1.2261e-07,8000,-2560.9,-3773.3
6.6218e-07,-1.2759e-07,1.2261e-07,8000,-2560.9,-3773.3
6.6218e-07,-1.2759e-07,1.2261e-07,8000,-2560.9,-3773.3
1.8503e-07,-2.6592e-07,6.1764e-08,8000,-1853.6,-3250.1
1.5791e-07,-2.3336e-07,5.077e-08,8000,-1820.1,-3332.4
1.8503e-07,-2.6592e-07,6.1764e-08,8000,-1853.6,-3250.1
4.0026e-07,2.8427e-07,6.1942e-08,8000,-3062.1,-3743.6
4.0026e-07,2.8427e-07,6.1942e-08,8000,-3062.1,-3743.6
4.0026e-07,2.8427e-07,6.1942e-08,8000,-3062.1,-3743.6
4.8522e-07,3.506e-07,2.36e-08,8000,-2937.1,-3500.8
4.8522e-07,3.506e-07,2.36e-08,8000,-2937.1,-3500.8
6.2432e-07,2.674e-07,1.158e-07,8000,-2802.9,-3778
6.2432e-07,2.674e-07,1.158e-07,8000,-2802.9,-3778
4.8522e-07,3.506e-07,2.36e-08,8000,-2937.1,-3500.8
6.2432e-07,2.674e-07,1.158e-07,8000,-2802.9,-3778
3.0452e-07,-1.5945e-07,7.8848e-08,8000,-1691.9,-2568.1
3.0452e-07,-1.5945e-07,7.8848e-08,8000,-1691.9,-2568.1
3.0452e-07,-1.5945e-07,7.8848e-08,8000,-1691.9,-2568.1
5.8643e-07,8.9945e-08,1.6492e-07,8000,-2666.3,-4053.3
6.6218e-07,-1.2759e-07,1.2261e-07,8000,-2560.9,-3773.3
5.8643e-07,8.9945e-08,1.6492e-07,8000,-2666.3,-4053.3
5.8643e-07,8.9945e-08,1.6492e-07,8000,-2666.3,-4053.3
6.6218e-07,-1.2759e-07,1.2261e-07,8000,-2560.9,-3773.3
6.6218e-07,-1.2759e-07,1.2261e-07,8000,-2560.9,-3773.3
2.0878e-07,-1.9667e-07,-1.124e-07,8000,-1647.1,-4114.8
2.0878e-07,-1.9667e-07,-1.124e-07,8000,-1647.1,-4114.8
2.0878e-07,-1.9667e-07,-1.124e-07,8000,-1647.1,-4114.8
5.1623e-07,1.3359e-07,-1.1369e-07,8000,-2669.7,-2945.4
5.1623e-07,1.3359e-07,-1.1369e-07,8000,-2669.7,-2945.4
5.1623e-07,1.3359e-07,-1.1369e-07,8000,-2669.7,-2945.4
5.27e-07,2.5439e-07,-1.0538e-07,8000,-2803.8,-3220.6
5.27e-07,2.5439e-07,-1.0538e-07,8000,-2803.8,-3220.6
5.1623e-07,1.3359e-07,-1.1369e-07,8000,-2669.7,-2945.4
5.1623e-07,1.3359e-07,-1.1369e-07,8000,-2669.7,-2945.4
5.27e-07,2.5439e-07,-1.0538e-07,8000,-2803.8,-3220.6
5.1623e-07,1.3359e-07,-1.1369e-07,8000,-2669.7,-2945.4
4.7955e-07,2.6415e-08,1.8707e-07,8000,-2558.3,-4282
4.7955e-07,2.6415e-08,1.8707e-07,8000,-2558.3,-4282
4.7955e-07,2.6415e-08,1.8707e-07,8000,-2558.3,-4282
4.7955e-07,2.6415e-08,1.8707e-07,8000,-2558.3,-4282
4.7955e-07,2.6415e-08,1.8707e-07,8000,-2558.3,-4282
5.8643e-07,8.9945e-08,1.6492e-07,8000,-2666.3,-4053.3
5.8643e-07,8.9945e-08,1.6492e-07,8000,-2666.3,-4053.3
4.7955e-07,2.6415e-08,1.8707e-07,8000,-2558.3,-4282
5.8643e-07,8.9945e-08,1.6492e-07,8000,-2666.3,-4053.3
1.8503e-07,-2.6592e-07,6.1764e-08,8000,-1853.6,-3250.1
1.8503e-07,-2.6592e-07,6.1764e-08,8000,-1853.6,-3250.1
1.8503e-07,-2.6592e-07,6.1764e-08,8000,-1853.6,-3250.1
5.8643e-07,8.9945e-08,1.6492e-07,8000,-2666.3,-4053.3
5.8643e-07,8.9945e-08,1.6492e-07,8000,-2666.3,-4053.3
5.8643e-07,8.9945e-08,1.6492e-07,8000,-2666.3,-4053.3
6.2432e-07,2.674e-07,1.158e-07,8000,-2802.9,-3778
6.2432e-07,2.674e-07,1.158e-07,8000,-2802.9,-3778
6.2432e-07,2.674e-07,1.158e-07,8000,-2802.9,-3778
5.8643e-07,8.9945e-08,1.6492e-07,8000,-2666.3,-4053.3
5.8643e-07,8.9945e-08,1.6492e-07,8000,-2666.3,-4053.3
6.2432e-07,2.674e-07,1.158e-07,8000,-2802.9,-3778
6.2432e-07,2.674e-07,1.158e-07,8000,-2802.9,-3778
5.8643e-07,8.9945e-08,1.6492e-07,8000,-2666.3,-4053.3
