"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
3.7409e-08,-1.484e-08,1.1741e-08,8000,-2558.3,-4282
3.7409e-08,-1.484e-08,1.1741e-08,8000,-2558.3,-4282
3.7409e-08,-1.484e-08,1.1741e-08,8000,-2558.3,-4282
3.3882e-08,-1.5413e-08,7.4754e-09,8000,-3185.7,-4895.1
3.4386e-08,-1.5397e-08,5.9935e-09,8000,-3259.6,-5000
3.4731e-08,-1.6558e-08,6.8184e-09,8000,-3129.1,-5000
3.5843e-08,-1.0909e-08,2.2097e-08,8000,-1853.6,-3250.1
3.6617e-08,-1.0853e-08,2.1109e-08,8000,-1820.1,-3332.4
3.5843e-08,-1.0909e-08,2.2097e-08,8000,-1853.6,-3250.1
3.3882e-08,-1.5413e-08,7.4754e-09,8000,-3185.7,-4895.1
3.4996e-08,-1.6978e-08,8.2258e-09,8000,-3064.4,-4721.6
3.3105e-08,-1.7367e-08,8.1189e-09,8000,-3283.4,-4694.6
3.0127e-08,-1.2599e-08,1.8223e-08,8000,-2803.8,-3220.6
3.0127e-08,-1.2599e-08,1.8223e-08,8000,-2803.8,-3220.6
3.0127e-08,-1.2599e-08,1.8223e-08,8000,-2803.8,-3220.6
3.1068e-08,-1.4365e-08,1.3995e-08,8000,-3062.1,-3743.6
3.1068e-08,-1.4365e-08,1.3995e-08,8000,-3062.1,-3743.6
3.1068e-08,-1.4365e-08,1.3995e-08,8000,-3062.1,-3743.6
3.6213e-08,-1.6223e-08,9.7195e-09,8000,-2907.2,-4559.9
3.6213e-08,-1.6223e-08,9.7195e-09,8000,-2907.2,-4559.9
3.6213e-08,-1.6223e-08,9.7195e-09,8000,-2907.2,-4559.9
3.5337e-08,-1.5138e-08,1.1987e-08,8000,-2777.2,-4304.7
3.5337e-08,-1.5138e-08,1.1987e-08,8000,-2777.2,-4304.7
3.5337e-08,-1.5138e-08,1.1987e-08,8000,-2777.2,-4304.7
3.0587e-08,-1.3367e-08,1.737e-08,8000,-2937.1,-3500.8
3.0127e-08,-1.2599e-08,1.8223e-08,8000,-2803.8,-3220.6
3.0587e-08,-1.3367e-08,1.737e-08,8000,-2937.1,-3500.8
3.0587e-08,-1.3367e-08,1.737e-08,8000,-2937.1,-3500.8
3.0127e-08,-1.2599e-08,1.8223e-08,8000,-2803.8,-3220.6
3.0127e-08,-1.2599e-08,1.8223e-08,8000,-2803.8,-3220.6
4.1553e-08,-1.1468e-08,1.8857e-08,8000,-1653.8,-3791.8
4.1553e-08,-1.1468e-08,1.8857e-08,8000,-1653.8,-3791.8
4.1553e-08,-1.1468e-08,1.8857e-08,8000,-1653.8,-3791.8
3.5843e-08,-1.0909e-08,2.2097e-08,8000,-1853.6,-3250.1
3.5843e-08,-1.0909e-08,2.2097e-08,8000,-1853.6,-3250.1
3.5843e-08,-1.0909e-08,2.2097e-08,8000,-1853.6,-3250.1
3.5337e-08,-1.5138e-08,1.1987e-08,8000,-2777.2,-4304.7
3.5337e-08,-1.5138e-08,1.1987e-08,8000,-2777.2,-4304.7
3.5337e-08,-1.5138e-08,1.1987e-08,8000,-2777.2,-4304.7
3.5034e-08,-1.3736e-08,1.5615e-08,8000,-2560.9,-3773.3
3.5034e-08,-1.3736e-08,1.5615e-08,8000,-2560.9,-3773.3
3.5034e-08,-1.3736e-08,1.5615e-08,8000,-2560.9,-3773.3
3.5843e-08,-1.0909e-08,2.2097e-08,8000,-1853.6,-3250.1
3.6617e-08,-1.0853e-08,2.1109e-08,8000,-1820.1,-3332.4
3.5843e-08,-1.0909e-08,2.2097e-08,8000,-1853.6,-3250.1
3.1068e-08,-1.4365e-08,1.3995e-08,8000,-3062.1,-3743.6
3.1068e-08,-1.4365e-08,1.3995e-08,8000,-3062.1,-3743.6
3.1068e-08,-1.4365e-08,1.3995e-08,8000,-3062.1,-3743.6
3.0587e-08,-1.3367e-08,1.737e-08,8000,-2937.1,-3500.8
3.0587e-08,-1.3367e-08,1.737e-08,8000,-2937.1,-3500.8
3.3081e-08,-1.4878e-08,1.53e-08,8000,-2802.9,-3778
3.3081e-08,-1.4878e-08,1.53e-08,8000,-2802.9,-3778
3.0587e-08,-1.3367e-08,1.737e-08,8000,-2937.1,-3500.8
3.3081e-08,-1.4878e-08,1.53e-08,8000,-2802.9,-3778
3.0364e-08,-8.4549e-09,2.5178e-08,8000,-1691.9,-2568.1
3.0364e-08,-8.4549e-09,2.5178e-08,8000,-1691.9,-2568.1
3.0364e-08,-8.4549e-09,2.5178e-08,8000,-1691.9,-2568.1
3.5597e-08,-1.4372e-08,1.4245e-08,8000,-2666.3,-4053.3
3.5034e-08,-1.3736e-08,1.5615e-08,8000,-2560.9,-3773.3
3.5597e-08,-1.4372e-08,1.4245e-08,8000,-2666.3,-4053.3
3.5597e-08,-1.4372e-08,1.4245e-08,8000,-2666.3,-4053.3
3.5034e-08,-1.3736e-08,1.5615e-08,8000,-2560.9,-3773.3
3.5034e-08,-1.3736e-08,1.5615e-08,8000,-2560.9,-3773.3
4.2755e-08,-1.1512e-08,1.4605e-08,8000,-1647.1,-4114.8
4.2755e-08,-1.1512e-08,1.4605e-08,8000,-1647.1,-4114.8
4.2755e-08,-1.1512e-08,1.4605e-08,8000,-1647.1,-4114.8
2.94e-08,-1.2089e-08,2.1275e-08,8000,-2669.7,-2945.4
2.94e-08,-1.2089e-08,2.1275e-08,8000,-2669.7,-2945.4
2.94e-08,-1.2089e-08,2.1275e-08,8000,-2669.7,-2945.4
3.0127e-08,-1.2599e-08,1.8223e-08,8000,-2803.8,-3220.6
3.0127e-08,-1.2599e-08,1.8223e-08,8000,-2803.8,-3220.6
2.94e-08,-1.2089e-08,2.1275e-08,8000,-2669.7,-2945.4
2.94e-08,-1.2089e-08,2.1275e-08,8000,-2669.7,-2945.4
3.0127e-08,-1.2599e-08,1.8223e-08,8000,-2803.8,-3220.6
2.94e-08,-1.2089e-08,2.1275e-08,8000,-2669.7,-2945.4
3.7409e-08,-1.484e-08,1.1741e-08,8000,-2558.3,-4282
3.7409e-08,-1.484e-08,1.1741e-08,8000,-2558.3,-4282
3.7409e-08,-1.484e-08,1.1741e-08,8000,-2558.3,-4282
3.7409e-08,-1.484e-08,1.1741e-08,8000,-2558.3,-4282
3.7409e-08,-1.484e-08,1.1741e-08,8000,-2558.3,-4282
3.5597e-08,-1.4372e-08,1.4245e-08,8000,-2666.3,-4053.3
3.5597e-08,-1.4372e-08,1.4245e-08,8000,-2666.3,-4053.3
3.7409e-08,-1.484e-08,1.1741e-08,8000,-2558.3,-4282
3.5597e-08,-1.4372e-08,1.4245e-08,8000,-2666.3,-4053.3
3.5843e-08,-1.0909e-08,2.2097e-08,8000,-1853.6,-3250.1
3.5843e-08,-1.0909e-08,2.2097e-08,8000,-1853.6,-3250.1
3.5843e-08,-1.0909e-08,2.2097e-08,8000,-1853.6,-3250.1
3.5597e-08,-1.4372e-08,1.4245e-08,8000,-2666.3,-4053.3
3.5597e-08,-1.4372e-08,1.4245e-08,8000,-2666.3,-4053.3
3.5597e-08,-1.4372e-08,1.4245e-08,8000,-2666.3,-4053.3
3.3081e-08,-1.4878e-08,1.53e-08,8000,-2802.9,-3778
3.3081e-08,-1.4878e-08,1.53e-08,8000,-2802.9,-3778
3.3081e-08,-1.4878e-08,1.53e-08,8000,-2802.9,-3778
3.5597e-08,-1.4372e-08,1.4245e-08,8000,-2666.3,-4053.3
3.5597e-08,-1.4372e-08,1.4245e-08,8000,-2666.3,-4053.3
3.3081e-08,-1.4878e-08,1.53e-08,8000,-2802.9,-3778
3.3081e-08,-1.4878e-08,1.53e-08,8000,-2802.9,-3778
3.5597e-08,-1.4372e-08,1.4245e-08,8000,-2666.3,-4053.3
3.3081e-08,-1.4878e-08,1.53e-08,8000,-2802.9,-3778
2.1953e-08,-1.0953e-08,2.101e-08,8000,-3167.6,-2499.6
2.1953e-08,-1.0953e-08,2.101e-08,8000,-3167.6,-2499.6
2.1953e-08,-1.0953e-08,2.101e-08,8000,-3167.6,-2499.6
3.3105e-08,-1.7367e-08,8.1189e-09,8000,-3283.4,-4694.6
3.3105e-08,-1.7367e-08,8.1189e-09,8000,-3283.4,-4694.6
3.4996e-08,-1.6978e-08,8.2258e-09,8000,-3064.4,-4721.6
3.4996e-08,-1.6978e-08,8.2258e-09,8000,-3064.4,-4721.6
3.3105e-08,-1.7367e-08,8.1189e-09,8000,-3283.4,-4694.6
3.4996e-08,-1.6978e-08,8.2258e-09,8000,-3064.4,-4721.6
3.0364e-08,-8.4549e-09,2.5178e-08,8000,-1691.9,-2568.1
3.0364e-08,-8.4549e-09,2.5178e-08,8000,-1691.9,-2568.1
3.0364e-08,-8.4549e-09,2.5178e-08,8000,-1691.9,-2568.1
3.3105e-08,-1.7367e-08,8.1189e-09,8000,-3283.4,-4694.6
3.3105e-08,-1.7367e-08,8.1189e-09,8000,-3283.4,-4694.6
3.4996e-08,-1.6978e-08,8.2258e-09,8000,-3064.4,-4721.6
3.4996e-08,-1.6978e-08,8.2258e-09,8000,-3064.4,-4721.6
3.3105e-08,-1.7367e-08,8.1189e-09,8000,-3283.4,-4694.6
3.4996e-08,-1.6978e-08,8.2258e-09,8000,-3064.4,-4721.6
3.5337e-08,-1.5138e-08,1.1987e-08,8000,-2777.2,-4304.7
3.5337e-08,-1.5138e-08,1.1987e-08,8000,-2777.2,-4304.7
3.5337e-08,-1.5138e-08,1.1987e-08,8000,-2777.2,-4304.7
4.1553e-08,-1.1468e-08,1.8857e-08,8000,-1653.8,-3791.8
