"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
9.3288e-07,1.9446e-07,3.0469e-07,8000,-2558.3,-4282
9.3288e-07,1.9446e-07,3.0469e-07,8000,-2558.3,-4282
9.3288e-07,1.9446e-07,3.0469e-07,8000,-2558.3,-4282
1.1235e-07,4.925e-08,-8.2931e-09,8000,-3185.7,-4895.1
7.6303e-08,3.527e-08,4.4162e-10,8000,-3259.6,-5000
1.0371e-07,2.5908e-08,1.1063e-08,8000,-3129.1,-5000
1.7524e-07,-1.7337e-07,2.6506e-08,8000,-1853.6,-3250.1
1.2987e-07,-1.3601e-07,1.9232e-08,8000,-1820.1,-3332.4
1.7524e-07,-1.7337e-07,2.6506e-08,8000,-1853.6,-3250.1
1.1235e-07,4.925e-08,-8.2931e-09,8000,-3185.7,-4895.1
1.5373e-07,3.2859e-08,2.5993e-08,8000,-3064.4,-4721.6
1.2132e-07,2.2194e-08,2.3721e-08,8000,-3283.4,-4694.6
7.565e-07,5.9631e-07,9.8118e-08,8000,-2803.8,-3220.6
7.565e-07,5.9631e-07,9.8118e-08,8000,-2803.8,-3220.6
7.565e-07,5.9631e-07,9.8118e-08,8000,-2803.8,-3220.6
4.6615e-07,5.7064e-08,-1.2155e-07,8000,-3062.1,-3743.6
4.6615e-07,5.7064e-08,-1.2155e-07,8000,-3062.1,-3743.6
4.6615e-07,5.7064e-08,-1.2155e-07,8000,-3062.1,-3743.6
2.303e-07,1.2558e-07,5.2562e-08,8000,-2907.2,-4559.9
2.303e-07,1.2558e-07,5.2562e-08,8000,-2907.2,-4559.9
2.303e-07,1.2558e-07,5.2562e-08,8000,-2907.2,-4559.9
3.7492e-07,-2.0078e-08,1.6142e-08,8000,-2777.2,-4304.7
3.7492e-07,-2.0078e-08,1.6142e-08,8000,-2777.2,-4304.7
3.7492e-07,-2.0078e-08,1.6142e-08,8000,-2777.2,-4304.7
5.5799e-07,2.0118e-07,1.587e-07,8000,-2937.1,-3500.8
7.565e-07,5.9631e-07,9.8118e-08,8000,-2803.8,-3220.6
5.5799e-07,2.0118e-07,1.587e-07,8000,-2937.1,-3500.8
5.5799e-07,2.0118e-07,1.587e-07,8000,-2937.1,-3500.8
7.565e-07,5.9631e-07,9.8118e-08,8000,-2803.8,-3220.6
7.565e-07,5.9631e-07,9.8118e-08,8000,-2803.8,-3220.6
5.4146e-08,-1.2535e-07,-1.4349e-08,8000,-1653.8,-3791.8
5.4146e-08,-1.2535e-07,-1.4349e-08,8000,-1653.8,-3791.8
5.4146e-08,-1.2535e-07,-1.4349e-08,8000,-1653.8,-3791.8
1.7524e-07,-1.7337e-07,2.6506e-08,8000,-1853.6,-3250.1
1.7524e-07,-1.7337e-07,2.6506e-08,8000,-1853.6,-3250.1
1.7524e-07,-1.7337e-07,2.6506e-08,8000,-1853.6,-3250.1
3.7492e-07,-2.0078e-08,1.6142e-08,8000,-2777.2,-4304.7
3.7492e-07,-2.0078e-08,1.6142e-08,8000,-2777.2,-4304.7
3.7492e-07,-2.0078e-08,1.6142e-08,8000,-2777.2,-4304.7
2.4777e-06,-7.5434e-07,2.0819e-07,8000,-2560.9,-3773.3
2.4777e-06,-7.5434e-07,2.0819e-07,8000,-2560.9,-3773.3
2.4777e-06,-7.5434e-07,2.0819e-07,8000,-2560.9,-3773.3
