"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
8.8339e-07,1.8818e-07,3.0802e-07,8000,-2558.3,-4282
8.8339e-07,1.8818e-07,3.0802e-07,8000,-2558.3,-4282
8.8339e-07,1.8818e-07,3.0802e-07,8000,-2558.3,-4282
1.0986e-07,4.6609e-08,-1.159e-08,8000,-3185.7,-4895.1
7.4777e-08,2.9528e-08,2.9117e-09,8000,-3259.6,-5000
1.0297e-07,2.5341e-08,1.1094e-08,8000,-3129.1,-5000
8.3163e-08,-1.1139e-07,1.7389e-08,8000,-1853.6,-3250.1
6.2834e-08,-9.077e-08,2.2001e-08,8000,-1820.1,-3332.4
8.3163e-08,-1.1139e-07,1.7389e-08,8000,-1853.6,-3250.1
1.0986e-07,4.6609e-08,-1.159e-08,8000,-3185.7,-4895.1
1.5729e-07,4.795e-08,3.2731e-08,8000,-3064.4,-4721.6
1.1922e-07,9.816e-09,1.7389e-08,8000,-3283.4,-4694.6
8.2947e-07,6.2851e-07,6.0265e-10,8000,-2803.8,-3220.6
8.2947e-07,6.2851e-07,6.0265e-10,8000,-2803.8,-3220.6
8.2947e-07,6.2851e-07,6.0265e-10,8000,-2803.8,-3220.6
4.8382e-07,6.7479e-08,-1.1609e-07,8000,-3062.1,-3743.6
4.8382e-07,6.7479e-08,-1.1609e-07,8000,-3062.1,-3743.6
4.8382e-07,6.7479e-08,-1.1609e-07,8000,-3062.1,-3743.6
2.1995e-07,1.0796e-07,3.8105e-08,8000,-2907.2,-4559.9
2.1995e-07,1.0796e-07,3.8105e-08,8000,-2907.2,-4559.9
2.1995e-07,1.0796e-07,3.8105e-08,8000,-2907.2,-4559.9
3.9784e-07,7.2615e-08,5.9509e-08,8000,-2777.2,-4304.7
3.9784e-07,7.2615e-08,5.9509e-08,8000,-2777.2,-4304.7
3.9784e-07,7.2615e-08,5.9509e-08,8000,-2777.2,-4304.7
6.5633e-07,3.4193e-07,1.0846e-07,8000,-2937.1,-3500.8
8.2947e-07,6.2851e-07,6.0265e-10,8000,-2803.8,-3220.6
6.5633e-07,3.4193e-07,1.0846e-07,8000,-2937.1,-3500.8
6.5633e-07,3.4193e-07,1.0846e-07,8000,-2937.1,-3500.8
8.2947e-07,6.2851e-07,6.0265e-10,8000,-2803.8,-3220.6
8.2947e-07,6.2851e-07,6.0265e-10,8000,-2803.8,-3220.6
2.4912e-08,-7.2087e-08,2.315e-08,8000,-1653.8,-3791.8
2.4912e-08,-7.2087e-08,2.315e-08,8000,-1653.8,-3791.8
2.4912e-08,-7.2087e-08,2.315e-08,8000,-1653.8,-3791.8
8.3163e-08,-1.1139e-07,1.7389e-08,8000,-1853.6,-3250.1
8.3163e-08,-1.1139e-07,1.7389e-08,8000,-1853.6,-3250.1
8.3163e-08,-1.1139e-07,1.7389e-08,8000,-1853.6,-3250.1
3.9784e-07,7.2615e-08,5.9509e-08,8000,-2777.2,-4304.7
3.9784e-07,7.2615e-08,5.9509e-08,8000,-2777.2,-4304.7
3.9784e-07,7.2615e-08,5.9509e-08,8000,-2777.2,-4304.7
2.1001e-06,-6.8047e-07,2.0159e-07,8000,-2560.9,-3773.3
2.1001e-06,-6.8047e-07,2.0159e-07,8000,-2560.9,-3773.3
2.1001e-06,-6.8047e-07,2.0159e-07,8000,-2560.9,-3773.3
8.3163e-08,-1.1139e-07,1.7389e-08,8000,-1853.6,-3250.1
6.2834e-08,-9.077e-08,2.2001e-08,8000,-1820.1,-3332.4
8.3163e-08,-1.1139e-07,1.7389e-08,8000,-1853.6,-3250.1
4.8382e-07,6.7479e-08,-1.1609e-07,8000,-3062.1,-3743.6
4.8382e-07,6.7479e-08,-1.1609e-07,8000,-3062.1,-3743.6
4.8382e-07,6.7479e-08,-1.1609e-07,8000,-3062.1,-3743.6
6.5633e-07,3.4193e-07,1.0846e-07,8000,-2937.1,-3500.8
6.5633e-07,3.4193e-07,1.0846e-07,8000,-2937.1,-3500.8
1.3078e-06,7.4533e-07,1.3428e-07,8000,-2802.9,-3778
1.3078e-06,7.4533e-07,1.3428e-07,8000,-2802.9,-3778
6.5633e-07,3.4193e-07,1.0846e-07,8000,-2937.1,-3500.8
1.3078e-06,7.4533e-07,1.3428e-07,8000,-2802.9,-3778
7.3255e-07,-2.1904e-07,1.7464e-07,8000,-1691.9,-2568.1
7.3255e-07,-2.1904e-07,1.7464e-07,8000,-1691.9,-2568.1
7.3255e-07,-2.1904e-07,1.7464e-07,8000,-1691.9,-2568.1
1.323e-06,2.2969e-07,2.1309e-07,8000,-2666.3,-4053.3
2.1001e-06,-6.8047e-07,2.0159e-07,8000,-2560.9,-3773.3
1.323e-06,2.2969e-07,2.1309e-07,8000,-2666.3,-4053.3
1.323e-06,2.2969e-07,2.1309e-07,8000,-2666.3,-4053.3
2.1001e-06,-6.8047e-07,2.0159e-07,8000,-2560.9,-3773.3
