"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
2.8503e-07,1.7403e-10,1.1135e-07,8000,-2558.3,-4282
2.8503e-07,1.7403e-10,1.1135e-07,8000,-2558.3,-4282
2.8503e-07,1.7403e-10,1.1135e-07,8000,-2558.3,-4282
9.8766e-08,5.9124e-08,3.2729e-08,8000,-3185.7,-4895.1
8.4724e-08,3.7863e-08,3.466e-08,8000,-3259.6,-5000
9.9315e-08,3.7315e-08,4.6597e-08,8000,-3129.1,-5000
1.9966e-07,-2.1385e-07,3.9603e-08,8000,-1853.6,-3250.1
1.8675e-07,-2.0356e-07,3.2077e-08,8000,-1820.1,-3332.4
1.9966e-07,-2.1385e-07,3.9603e-08,8000,-1853.6,-3250.1
9.8766e-08,5.9124e-08,3.2729e-08,8000,-3185.7,-4895.1
1.3964e-07,7.5695e-08,8.4365e-08,8000,-3064.4,-4721.6
1.1192e-07,3.2387e-08,5.5415e-08,8000,-3283.4,-4694.6
3.0218e-07,1.0515e-07,-4.9267e-08,8000,-2803.8,-3220.6
3.0218e-07,1.0515e-07,-4.9267e-08,8000,-2803.8,-3220.6
3.0218e-07,1.0515e-07,-4.9267e-08,8000,-2803.8,-3220.6
2.5606e-07,1.6293e-07,5.4077e-08,8000,-3062.1,-3743.6
2.5606e-07,1.6293e-07,5.4077e-08,8000,-3062.1,-3743.6
2.5606e-07,1.6293e-07,5.4077e-08,8000,-3062.1,-3743.6
1.8756e-07,7.0788e-08,1.0787e-07,8000,-2907.2,-4559.9
1.8756e-07,7.0788e-08,1.0787e-07,8000,-2907.2,-4559.9
1.8756e-07,7.0788e-08,1.0787e-07,8000,-2907.2,-4559.9
2.4396e-07,9.7511e-08,1.1599e-07,8000,-2777.2,-4304.7
2.4396e-07,9.7511e-08,1.1599e-07,8000,-2777.2,-4304.7
2.4396e-07,9.7511e-08,1.1599e-07,8000,-2777.2,-4304.7
2.8639e-07,1.6232e-07,1.9923e-08,8000,-2937.1,-3500.8
3.0218e-07,1.0515e-07,-4.9267e-08,8000,-2803.8,-3220.6
2.8639e-07,1.6232e-07,1.9923e-08,8000,-2937.1,-3500.8
2.8639e-07,1.6232e-07,1.9923e-08,8000,-2937.1,-3500.8
3.0218e-07,1.0515e-07,-4.9267e-08,8000,-2803.8,-3220.6
3.0218e-07,1.0515e-07,-4.9267e-08,8000,-2803.8,-3220.6
1.4982e-07,-1.7736e-07,-2.368e-08,8000,-1653.8,-3791.8
1.4982e-07,-1.7736e-07,-2.368e-08,8000,-1653.8,-3791.8
1.4982e-07,-1.7736e-07,-2.368e-08,8000,-1653.8,-3791.8
1.9966e-07,-2.1385e-07,3.9603e-08,8000,-1853.6,-3250.1
1.9966e-07,-2.1385e-07,3.9603e-08,8000,-1853.6,-3250.1
1.9966e-07,-2.1385e-07,3.9603e-08,8000,-1853.6,-3250.1
2.4396e-07,9.7511e-08,1.1599e-07,8000,-2777.2,-4304.7
2.4396e-07,9.7511e-08,1.1599e-07,8000,-2777.2,-4304.7
2.4396e-07,9.7511e-08,1.1599e-07,8000,-2777.2,-4304.7
3.3873e-07,-4.577e-08,7.4055e-08,8000,-2560.9,-3773.3
