"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
9.5919e-07,1.4419e-07,3.0546e-07,8000,-2558.3,-4282
9.5919e-07,1.4419e-07,3.0546e-07,8000,-2558.3,-4282
9.5919e-07,1.4419e-07,3.0546e-07,8000,-2558.3,-4282
1.1484e-07,5.4352e-08,-5.6077e-09,8000,-3185.7,-4895.1
7.859e-08,4.3229e-08,-3.252e-09,8000,-3259.6,-5000
1.0432e-07,2.7187e-08,9.7325e-09,8000,-3129.1,-5000
2.4001e-07,-2.4618e-07,9.8806e-09,8000,-1853.6,-3250.1
1.6824e-07,-1.7582e-07,-2.0932e-08,8000,-1820.1,-3332.4
2.4001e-07,-2.4618e-07,9.8806e-09,8000,-1853.6,-3250.1
1.1484e-07,5.4352e-08,-5.6077e-09,8000,-3185.7,-4895.1
1.4929e-07,1.4184e-08,2.5475e-08,8000,-3064.4,-4721.6
1.2443e-07,4.0407e-08,3.6334e-08,8000,-3283.4,-4694.6
6.5908e-07,5.3782e-07,1.8478e-07,8000,-2803.8,-3220.6
6.5908e-07,5.3782e-07,1.8478e-07,8000,-2803.8,-3220.6
6.5908e-07,5.3782e-07,1.8478e-07,8000,-2803.8,-3220.6
4.8085e-07,1.2449e-07,-1.0319e-07,8000,-3062.1,-3743.6
4.8085e-07,1.2449e-07,-1.0319e-07,8000,-3062.1,-3743.6
4.8085e-07,1.2449e-07,-1.0319e-07,8000,-3062.1,-3743.6
2.4262e-07,1.5355e-07,7.2212e-08,8000,-2907.2,-4559.9
2.4262e-07,1.5355e-07,7.2212e-08,8000,-2907.2,-4559.9
2.4262e-07,1.5355e-07,7.2212e-08,8000,-2907.2,-4559.9
3.756e-07,-6.6431e-08,-5.8488e-10,8000,-2777.2,-4304.7
3.756e-07,-6.6431e-08,-5.8488e-10,8000,-2777.2,-4304.7
3.756e-07,-6.6431e-08,-5.8488e-10,8000,-2777.2,-4304.7
4.6497e-07,1.4248e-07,2.047e-07,8000,-2937.1,-3500.8
6.5908e-07,5.3782e-07,1.8478e-07,8000,-2803.8,-3220.6
4.6497e-07,1.4248e-07,2.047e-07,8000,-2937.1,-3500.8
4.6497e-07,1.4248e-07,2.047e-07,8000,-2937.1,-3500.8
6.5908e-07,5.3782e-07,1.8478e-07,8000,-2803.8,-3220.6
6.5908e-07,5.3782e-07,1.8478e-07,8000,-2803.8,-3220.6
6.1749e-08,-1.7597e-07,3.2393e-09,8000,-1653.8,-3791.8
6.1749e-08,-1.7597e-07,3.2393e-09,8000,-1653.8,-3791.8
6.1749e-08,-1.7597e-07,3.2393e-09,8000,-1653.8,-3791.8
2.4001e-07,-2.4618e-07,9.8806e-09,8000,-1853.6,-3250.1
2.4001e-07,-2.4618e-07,9.8806e-09,8000,-1853.6,-3250.1
2.4001e-07,-2.4618e-07,9.8806e-09,8000,-1853.6,-3250.1
3.756e-07,-6.6431e-08,-5.8488e-10,8000,-2777.2,-4304.7
3.756e-07,-6.6431e-08,-5.8488e-10,8000,-2777.2,-4304.7
3.756e-07,-6.6431e-08,-5.8488e-10,8000,-2777.2,-4304.7
2.8404e-06,-7.1217e-07,2.4515e-07,8000,-2560.9,-3773.3
2.8404e-06,-7.1217e-07,2.4515e-07,8000,-2560.9,-3773.3
2.8404e-06,-7.1217e-07,2.4515e-07,8000,-2560.9,-3773.3
2.4001e-07,-2.4618e-07,9.8806e-09,8000,-1853.6,-3250.1
1.6824e-07,-1.7582e-07,-2.0932e-08,8000,-1820.1,-3332.4
2.4001e-07,-2.4618e-07,9.8806e-09,8000,-1853.6,-3250.1
4.8085e-07,1.2449e-07,-1.0319e-07,8000,-3062.1,-3743.6
4.8085e-07,1.2449e-07,-1.0319e-07,8000,-3062.1,-3743.6
4.8085e-07,1.2449e-07,-1.0319e-07,8000,-3062.1,-3743.6
4.6497e-07,1.4248e-07,2.047e-07,8000,-2937.1,-3500.8
4.6497e-07,1.4248e-07,2.047e-07,8000,-2937.1,-3500.8
1.1773e-06,4.8164e-07,5.2587e-08,8000,-2802.9,-3778
1.1773e-06,4.8164e-07,5.2587e-08,8000,-2802.9,-3778
4.6497e-07,1.4248e-07,2.047e-07,8000,-2937.1,-3500.8
1.1773e-06,4.8164e-07,5.2587e-08,8000,-2802.9,-3778
9.2744e-07,-1.5236e-07,2.0711e-07,8000,-1691.9,-2568.1
9.2744e-07,-1.5236e-07,2.0711e-07,8000,-1691.9,-2568.1
9.2744e-07,-1.5236e-07,2.0711e-07,8000,-1691.9,-2568.1
1.3672e-06,1.445e-07,-7.2945e-08,8000,-2666.3,-4053.3
2.8404e-06,-7.1217e-07,2.4515e-07,8000,-2560.9,-3773.3
1.3672e-06,1.445e-07,-7.2945e-08,8000,-2666.3,-4053.3
1.3672e-06,1.445e-07,-7.2945e-08,8000,-2666.3,-4053.3
2.8404e-06,-7.1217e-07,2.4515e-07,8000,-2560.9,-3773.3
2.8404e-06,-7.1217e-07,2.4515e-07,8000,-2560.9,-3773.3
