"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
9.5862e-07,1.4587e-07,3.0487e-07,8000,-2558.3,-4282
9.5862e-07,1.4587e-07,3.0487e-07,8000,-2558.3,-4282
9.5862e-07,1.4587e-07,3.0487e-07,8000,-2558.3,-4282
1.1487e-07,5.3759e-08,-5.8207e-09,8000,-3185.7,-4895.1
7.8542e-08,4.2748e-08,-3.1759e-09,8000,-3259.6,-5000
1.0439e-07,2.6848e-08,9.5942e-09,8000,-3129.1,-5000
2.3953e-07,-2.4396e-07,1.0957e-08,8000,-1853.6,-3250.1
1.6837e-07,-1.7466e-07,-1.9137e-08,8000,-1820.1,-3332.4
2.3953e-07,-2.4396e-07,1.0957e-08,8000,-1853.6,-3250.1
1.1487e-07,5.3759e-08,-5.8207e-09,8000,-3185.7,-4895.1
1.4957e-07,1.4439e-08,2.5274e-08,8000,-3064.4,-4721.6
1.2438e-07,3.9415e-08,3.5581e-08,8000,-3283.4,-4694.6
6.6036e-07,5.3981e-07,1.8372e-07,8000,-2803.8,-3220.6
6.6036e-07,5.3981e-07,1.8372e-07,8000,-2803.8,-3220.6
6.6036e-07,5.3981e-07,1.8372e-07,8000,-2803.8,-3220.6
4.7906e-07,1.2104e-07,-1.0332e-07,8000,-3062.1,-3743.6
4.7906e-07,1.2104e-07,-1.0332e-07,8000,-3062.1,-3743.6
4.7906e-07,1.2104e-07,-1.0332e-07,8000,-3062.1,-3743.6
2.4232e-07,1.5221e-07,7.1401e-08,8000,-2907.2,-4559.9
2.4232e-07,1.5221e-07,7.1401e-08,8000,-2907.2,-4559.9
2.4232e-07,1.5221e-07,7.1401e-08,8000,-2907.2,-4559.9
3.7458e-07,-6.6441e-08,-8.2953e-10,8000,-2777.2,-4304.7
3.7458e-07,-6.6441e-08,-8.2953e-10,8000,-2777.2,-4304.7
3.7458e-07,-6.6441e-08,-8.2953e-10,8000,-2777.2,-4304.7
4.6555e-07,1.4103e-07,2.0349e-07,8000,-2937.1,-3500.8
6.6036e-07,5.3981e-07,1.8372e-07,8000,-2803.8,-3220.6
4.6555e-07,1.4103e-07,2.0349e-07,8000,-2937.1,-3500.8
4.6555e-07,1.4103e-07,2.0349e-07,8000,-2937.1,-3500.8
6.6036e-07,5.3981e-07,1.8372e-07,8000,-2803.8,-3220.6
6.6036e-07,5.3981e-07,1.8372e-07,8000,-2803.8,-3220.6
6.2391e-08,-1.7484e-07,1.7609e-09,8000,-1653.8,-3791.8
6.2391e-08,-1.7484e-07,1.7609e-09,8000,-1653.8,-3791.8
6.2391e-08,-1.7484e-07,1.7609e-09,8000,-1653.8,-3791.8
2.3953e-07,-2.4396e-07,1.0957e-08,8000,-1853.6,-3250.1
2.3953e-07,-2.4396e-07,1.0957e-08,8000,-1853.6,-3250.1
2.3953e-07,-2.4396e-07,1.0957e-08,8000,-1853.6,-3250.1
3.7458e-07,-6.6441e-08,-8.2953e-10,8000,-2777.2,-4304.7
3.7458e-07,-6.6441e-08,-8.2953e-10,8000,-2777.2,-4304.7
3.7458e-07,-6.6441e-08,-8.2953e-10,8000,-2777.2,-4304.7
2.8331e-06,-7.146e-07,2.4408e-07,8000,-2560.9,-3773.3
2.8331e-06,-7.146e-07,2.4408e-07,8000,-2560.9,-3773.3
2.8331e-06,-7.146e-07,2.4408e-07,8000,-2560.9,-3773.3
2.3953e-07,-2.4396e-07,1.0957e-08,8000,-1853.6,-3250.1
1.6837e-07,-1.7466e-07,-1.9137e-08,8000,-1820.1,-3332.4
2.3953e-07,-2.4396e-07,1.0957e-08,8000,-1853.6,-3250.1
4.7906e-07,1.2104e-07,-1.0332e-07,8000,-3062.1,-3743.6
4.7906e-07,1.2104e-07,-1.0332e-07,8000,-3062.1,-3743.6
4.7906e-07,1.2104e-07,-1.0332e-07,8000,-3062.1,-3743.6
