"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
2.9063e-07,7.2568e-10,1.1344e-07,8000,-2558.3,-4282
2.9063e-07,7.2568e-10,1.1344e-07,8000,-2558.3,-4282
2.9063e-07,7.2568e-10,1.1344e-07,8000,-2558.3,-4282
9.903e-08,5.93e-08,3.1865e-08,8000,-3185.7,-4895.1
8.4709e-08,3.7791e-08,3.4123e-08,8000,-3259.6,-5000
9.9527e-08,3.7297e-08,4.604e-08,8000,-3129.1,-5000
2.0096e-07,-2.1743e-07,4.0672e-08,8000,-1853.6,-3250.1
1.8753e-07,-2.0649e-07,3.2848e-08,8000,-1820.1,-3332.4
2.0096e-07,-2.1743e-07,4.0672e-08,8000,-1853.6,-3250.1
9.903e-08,5.93e-08,3.1865e-08,8000,-3185.7,-4895.1
1.4053e-07,7.6418e-08,8.4441e-08,8000,-3064.4,-4721.6
1.1233e-07,3.1964e-08,5.4912e-08,8000,-3283.4,-4694.6
3.0861e-07,1.0867e-07,-5.0917e-08,8000,-2803.8,-3220.6
3.0861e-07,1.0867e-07,-5.0917e-08,8000,-2803.8,-3220.6
3.0861e-07,1.0867e-07,-5.0917e-08,8000,-2803.8,-3220.6
2.6064e-07,1.6711e-07,5.4778e-08,8000,-3062.1,-3743.6
2.6064e-07,1.6711e-07,5.4778e-08,8000,-3062.1,-3743.6
2.6064e-07,1.6711e-07,5.4778e-08,8000,-3062.1,-3743.6
1.8955e-07,7.231e-08,1.0888e-07,8000,-2907.2,-4559.9
1.8955e-07,7.231e-08,1.0888e-07,8000,-2907.2,-4559.9
1.8955e-07,7.231e-08,1.0888e-07,8000,-2907.2,-4559.9
2.4812e-07,1.0056e-07,1.1782e-07,8000,-2777.2,-4304.7
2.4812e-07,1.0056e-07,1.1782e-07,8000,-2777.2,-4304.7
2.4812e-07,1.0056e-07,1.1782e-07,8000,-2777.2,-4304.7
2.9222e-07,1.6734e-07,2.0039e-08,8000,-2937.1,-3500.8
3.0861e-07,1.0867e-07,-5.0917e-08,8000,-2803.8,-3220.6
2.9222e-07,1.6734e-07,2.0039e-08,8000,-2937.1,-3500.8
2.9222e-07,1.6734e-07,2.0039e-08,8000,-2937.1,-3500.8
3.0861e-07,1.0867e-07,-5.0917e-08,8000,-2803.8,-3220.6
3.0861e-07,1.0867e-07,-5.0917e-08,8000,-2803.8,-3220.6
1.4956e-07,-1.7885e-07,-2.5391e-08,8000,-1653.8,-3791.8
1.4956e-07,-1.7885e-07,-2.5391e-08,8000,-1653.8,-3791.8
1.4956e-07,-1.7885e-07,-2.5391e-08,8000,-1653.8,-3791.8
2.0096e-07,-2.1743e-07,4.0672e-08,8000,-1853.6,-3250.1
2.0096e-07,-2.1743e-07,4.0672e-08,8000,-1853.6,-3250.1
2.0096e-07,-2.1743e-07,4.0672e-08,8000,-1853.6,-3250.1
2.4812e-07,1.0056e-07,1.1782e-07,8000,-2777.2,-4304.7
2.4812e-07,1.0056e-07,1.1782e-07,8000,-2777.2,-4304.7
2.4812e-07,1.0056e-07,1.1782e-07,8000,-2777.2,-4304.7
3.4674e-07,-4.7479e-08,7.5416e-08,8000,-2560.9,-3773.3
3.4674e-07,-4.7479e-08,7.5416e-08,8000,-2560.9,-3773.3
3.4674e-07,-4.7479e-08,7.5416e-08,8000,-2560.9,-3773.3
2.0096e-07,-2.1743e-07,4.0672e-08,8000,-1853.6,-3250.1
1.8753e-07,-2.0649e-07,3.2848e-08,8000,-1820.1,-3332.4
2.0096e-07,-2.1743e-07,4.0672e-08,8000,-1853.6,-3250.1
2.6064e-07,1.6711e-07,5.4778e-08,8000,-3062.1,-3743.6
2.6064e-07,1.6711e-07,5.4778e-08,8000,-3062.1,-3743.6
2.6064e-07,1.6711e-07,5.4778e-08,8000,-3062.1,-3743.6
2.9222e-07,1.6734e-07,2.0039e-08,8000,-2937.1,-3500.8
2.9222e-07,1.6734e-07,2.0039e-08,8000,-2937.1,-3500.8
3.3831e-07,1.1406e-07,7.1978e-08,8000,-2802.9,-3778
3.3831e-07,1.1406e-07,7.1978e-08,8000,-2802.9,-3778
2.9222e-07,1.6734e-07,2.0039e-08,8000,-2937.1,-3500.8
3.3831e-07,1.1406e-07,7.1978e-08,8000,-2802.9,-3778
1.8819e-07,-1.216e-07,3.1765e-08,8000,-1691.9,-2568.1
1.8819e-07,-1.216e-07,3.1765e-08,8000,-1691.9,-2568.1
1.8819e-07,-1.216e-07,3.1765e-08,8000,-1691.9,-2568.1
3.2085e-07,3.7042e-08,1.0262e-07,8000,-2666.3,-4053.3
3.4674e-07,-4.7479e-08,7.5416e-08,8000,-2560.9,-3773.3
3.2085e-07,3.7042e-08,1.0262e-07,8000,-2666.3,-4053.3
3.2085e-07,3.7042e-08,1.0262e-07,8000,-2666.3,-4053.3
3.4674e-07,-4.7479e-08,7.5416e-08,8000,-2560.9,-3773.3
3.4674e-07,-4.7479e-08,7.5416e-08,8000,-2560.9,-3773.3
1.7754e-07,-1.6387e-07,-4.0888e-08,8000,-1647.1,-4114.8
1.7754e-07,-1.6387e-07,-4.0888e-08,8000,-1647.1,-4114.8
1.7754e-07,-1.6387e-07,-4.0888e-08,8000,-1647.1,-4114.8
3.1176e-07,5.5931e-08,-6.2185e-08,8000,-2669.7,-2945.4
3.1176e-07,5.5931e-08,-6.2185e-08,8000,-2669.7,-2945.4
3.1176e-07,5.5931e-08,-6.2185e-08,8000,-2669.7,-2945.4
3.0861e-07,1.0867e-07,-5.0917e-08,8000,-2803.8,-3220.6
3.0861e-07,1.0867e-07,-5.0917e-08,8000,-2803.8,-3220.6
3.1176e-07,5.5931e-08,-6.2185e-08,8000,-2669.7,-2945.4
3.1176e-07,5.5931e-08,-6.2185e-08,8000,-2669.7,-2945.4
3.0861e-07,1.0867e-07,-5.0917e-08,8000,-2803.8,-3220.6
3.1176e-07,5.5931e-08,-6.2185e-08,8000,-2669.7,-2945.4
2.9063e-07,7.2568e-10,1.1344e-07,8000,-2558.3,-4282
2.9063e-07,7.2568e-10,1.1344e-07,8000,-2558.3,-4282
2.9063e-07,7.2568e-10,1.1344e-07,8000,-2558.3,-4282
2.9063e-07,7.2568e-10,1.1344e-07,8000,-2558.3,-4282
2.9063e-07,7.2568e-10,1.1344e-07,8000,-2558.3,-4282
3.2085e-07,3.7042e-08,1.0262e-07,8000,-2666.3,-4053.3
3.2085e-07,3.7042e-08,1.0262e-07,8000,-2666.3,-4053.3
2.9063e-07,7.2568e-10,1.1344e-07,8000,-2558.3,-4282
3.2085e-07,3.7042e-08,1.0262e-07,8000,-2666.3,-4053.3
2.0096e-07,-2.1743e-07,4.0672e-08,8000,-1853.6,-3250.1
2.0096e-07,-2.1743e-07,4.0672e-08,8000,-1853.6,-3250.1
2.0096e-07,-2.1743e-07,4.0672e-08,8000,-1853.6,-3250.1
3.2085e-07,3.7042e-08,1.0262e-07,8000,-2666.3,-4053.3
3.2085e-07,3.7042e-08,1.0262e-07,8000,-2666.3,-4053.3
3.2085e-07,3.7042e-08,1.0262e-07,8000,-2666.3,-4053.3
3.3831e-07,1.1406e-07,7.1978e-08,8000,-2802.9,-3778
3.3831e-07,1.1406e-07,7.1978e-08,8000,-2802.9,-3778
3.3831e-07,1.1406e-07,7.1978e-08,8000,-2802.9,-3778
3.2085e-07,3.7042e-08,1.0262e-07,8000,-2666.3,-4053.3
3.2085e-07,3.7042e-08,1.0262e-07,8000,-2666.3,-4053.3
3.3831e-07,1.1406e-07,7.1978e-08,8000,-2802.9,-3778
3.3831e-07,1.1406e-07,7.1978e-08,8000,-2802.9,-3778
3.2085e-07,3.7042e-08,1.0262e-07,8000,-2666.3,-4053.3
3.3831e-07,1.1406e-07,7.1978e-08,8000,-2802.9,-3778
1.4416e-07,1.1632e-07,-6.9633e-08,8000,-3167.6,-2499.6
1.4416e-07,1.1632e-07,-6.9633e-08,8000,-3167.6,-2499.6
1.4416e-07,1.1632e-07,-6.9633e-08,8000,-3167.6,-2499.6
1.1233e-07,3.1964e-08,5.4912e-08,8000,-3283.4,-4694.6
