"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
5.3232e-08,-1.6802e-08,1.902e-08,8000,-2558.3,-4282
5.3232e-08,-1.6802e-08,1.902e-08,8000,-2558.3,-4282
5.3232e-08,-1.6802e-08,1.902e-08,8000,-2558.3,-4282
4.6737e-08,-1.0001e-08,1.734e-08,8000,-3185.7,-4895.1
4.6995e-08,-9.9765e-09,1.6095e-08,8000,-3259.6,-5000
4.7703e-08,-1.2208e-08,1.7448e-08,8000,-3129.1,-5000
5.0154e-08,-2.272e-08,2.0897e-08,8000,-1853.6,-3250.1
5.0852e-08,-2.3291e-08,2.0516e-08,8000,-1820.1,-3332.4
5.0154e-08,-2.272e-08,2.0897e-08,8000,-1853.6,-3250.1
4.6737e-08,-1.0001e-08,1.734e-08,8000,-3185.7,-4895.1
4.8998e-08,-1.2471e-08,1.8599e-08,8000,-3064.4,-4721.6
4.661e-08,-1.1535e-08,1.7824e-08,8000,-3283.4,-4694.6
4.5815e-08,-1.0341e-08,1.5732e-08,8000,-2803.8,-3220.6
4.5815e-08,-1.0341e-08,1.5732e-08,8000,-2803.8,-3220.6
4.5815e-08,-1.0341e-08,1.5732e-08,8000,-2803.8,-3220.6
4.6687e-08,-9.1522e-09,1.6716e-08,8000,-3062.1,-3743.6
4.6687e-08,-9.1522e-09,1.6716e-08,8000,-3062.1,-3743.6
4.6687e-08,-9.1522e-09,1.6716e-08,8000,-3062.1,-3743.6
5.1202e-08,-1.3786e-08,1.9005e-08,8000,-2907.2,-4559.9
5.1202e-08,-1.3786e-08,1.9005e-08,8000,-2907.2,-4559.9
5.1202e-08,-1.3786e-08,1.9005e-08,8000,-2907.2,-4559.9
5.0569e-08,-1.3363e-08,1.9649e-08,8000,-2777.2,-4304.7
5.0569e-08,-1.3363e-08,1.9649e-08,8000,-2777.2,-4304.7
5.0569e-08,-1.3363e-08,1.9649e-08,8000,-2777.2,-4304.7
4.6325e-08,-9.5756e-09,1.764e-08,8000,-2937.1,-3500.8
4.5815e-08,-1.0341e-08,1.5732e-08,8000,-2803.8,-3220.6
4.6325e-08,-9.5756e-09,1.764e-08,8000,-2937.1,-3500.8
4.6325e-08,-9.5756e-09,1.764e-08,8000,-2937.1,-3500.8
4.5815e-08,-1.0341e-08,1.5732e-08,8000,-2803.8,-3220.6
4.5815e-08,-1.0341e-08,1.5732e-08,8000,-2803.8,-3220.6
5.5127e-08,-2.576e-08,2.1762e-08,8000,-1653.8,-3791.8
5.5127e-08,-2.576e-08,2.1762e-08,8000,-1653.8,-3791.8
5.5127e-08,-2.576e-08,2.1762e-08,8000,-1653.8,-3791.8
5.0154e-08,-2.272e-08,2.0897e-08,8000,-1853.6,-3250.1
5.0154e-08,-2.272e-08,2.0897e-08,8000,-1853.6,-3250.1
5.0154e-08,-2.272e-08,2.0897e-08,8000,-1853.6,-3250.1
5.0569e-08,-1.3363e-08,1.9649e-08,8000,-2777.2,-4304.7
5.0569e-08,-1.3363e-08,1.9649e-08,8000,-2777.2,-4304.7
5.0569e-08,-1.3363e-08,1.9649e-08,8000,-2777.2,-4304.7
5.0963e-08,-1.5518e-08,1.909e-08,8000,-2560.9,-3773.3
5.0963e-08,-1.5518e-08,1.909e-08,8000,-2560.9,-3773.3
5.0963e-08,-1.5518e-08,1.909e-08,8000,-2560.9,-3773.3
5.0154e-08,-2.272e-08,2.0897e-08,8000,-1853.6,-3250.1
5.0852e-08,-2.3291e-08,2.0516e-08,8000,-1820.1,-3332.4
5.0154e-08,-2.272e-08,2.0897e-08,8000,-1853.6,-3250.1
4.6687e-08,-9.1522e-09,1.6716e-08,8000,-3062.1,-3743.6
4.6687e-08,-9.1522e-09,1.6716e-08,8000,-3062.1,-3743.6
4.6687e-08,-9.1522e-09,1.6716e-08,8000,-3062.1,-3743.6
4.6325e-08,-9.5756e-09,1.764e-08,8000,-2937.1,-3500.8
4.6325e-08,-9.5756e-09,1.764e-08,8000,-2937.1,-3500.8
4.9387e-08,-1.2578e-08,1.8465e-08,8000,-2802.9,-3778
4.9387e-08,-1.2578e-08,1.8465e-08,8000,-2802.9,-3778
4.6325e-08,-9.5756e-09,1.764e-08,8000,-2937.1,-3500.8
4.9387e-08,-1.2578e-08,1.8465e-08,8000,-2802.9,-3778
4.2292e-08,-2.0681e-08,1.9806e-08,8000,-1691.9,-2568.1
4.2292e-08,-2.0681e-08,1.9806e-08,8000,-1691.9,-2568.1
4.2292e-08,-2.0681e-08,1.9806e-08,8000,-1691.9,-2568.1
5.1365e-08,-1.4636e-08,1.999e-08,8000,-2666.3,-4053.3
5.0963e-08,-1.5518e-08,1.909e-08,8000,-2560.9,-3773.3
5.1365e-08,-1.4636e-08,1.999e-08,8000,-2666.3,-4053.3
5.1365e-08,-1.4636e-08,1.999e-08,8000,-2666.3,-4053.3
5.0963e-08,-1.5518e-08,1.909e-08,8000,-2560.9,-3773.3
5.0963e-08,-1.5518e-08,1.909e-08,8000,-2560.9,-3773.3
5.5777e-08,-2.6141e-08,2.0055e-08,8000,-1647.1,-4114.8
5.5777e-08,-2.6141e-08,2.0055e-08,8000,-1647.1,-4114.8
5.5777e-08,-2.6141e-08,2.0055e-08,8000,-1647.1,-4114.8
4.5352e-08,-1.2067e-08,1.6863e-08,8000,-2669.7,-2945.4
4.5352e-08,-1.2067e-08,1.6863e-08,8000,-2669.7,-2945.4
4.5352e-08,-1.2067e-08,1.6863e-08,8000,-2669.7,-2945.4
4.5815e-08,-1.0341e-08,1.5732e-08,8000,-2803.8,-3220.6
4.5815e-08,-1.0341e-08,1.5732e-08,8000,-2803.8,-3220.6
4.5352e-08,-1.2067e-08,1.6863e-08,8000,-2669.7,-2945.4
4.5352e-08,-1.2067e-08,1.6863e-08,8000,-2669.7,-2945.4
