"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
9.1122e-07,1.9742e-07,3.0575e-07,8000,-2558.3,-4282
9.1122e-07,1.9742e-07,3.0575e-07,8000,-2558.3,-4282
9.1122e-07,1.9742e-07,3.0575e-07,8000,-2558.3,-4282
1.1104e-07,4.7525e-08,-1.0033e-08,8000,-3185.7,-4895.1
7.5408e-08,3.2155e-08,1.7985e-09,8000,-3259.6,-5000
1.0329e-07,2.5446e-08,1.1127e-08,8000,-3129.1,-5000
1.299e-07,-1.403e-07,2.2412e-08,8000,-1853.6,-3250.1
9.7918e-08,-1.1337e-07,2.2696e-08,8000,-1820.1,-3332.4
1.299e-07,-1.403e-07,2.2412e-08,8000,-1853.6,-3250.1
1.1104e-07,4.7525e-08,-1.0033e-08,8000,-3185.7,-4895.1
1.5567e-07,4.1128e-08,2.8914e-08,8000,-3064.4,-4721.6
1.2014e-07,1.5271e-08,1.9755e-08,8000,-3283.4,-4694.6
7.9711e-07,6.1691e-07,5.0855e-08,8000,-2803.8,-3220.6
7.9711e-07,6.1691e-07,5.0855e-08,8000,-2803.8,-3220.6
7.9711e-07,6.1691e-07,5.0855e-08,8000,-2803.8,-3220.6
4.7115e-07,5.1238e-08,-1.2289e-07,8000,-3062.1,-3743.6
4.7115e-07,5.1238e-08,-1.2289e-07,8000,-3062.1,-3743.6
4.7115e-07,5.1238e-08,-1.2289e-07,8000,-3062.1,-3743.6
2.2469e-07,1.1533e-07,4.4552e-08,8000,-2907.2,-4559.9
2.2469e-07,1.1533e-07,4.4552e-08,8000,-2907.2,-4559.9
2.2469e-07,1.1533e-07,4.4552e-08,8000,-2907.2,-4559.9
3.8367e-07,2.0671e-08,3.4672e-08,8000,-2777.2,-4304.7
3.8367e-07,2.0671e-08,3.4672e-08,8000,-2777.2,-4304.7
3.8367e-07,2.0671e-08,3.4672e-08,8000,-2777.2,-4304.7
6.0771e-07,2.6271e-07,1.3417e-07,8000,-2937.1,-3500.8
7.9711e-07,6.1691e-07,5.0855e-08,8000,-2803.8,-3220.6
6.0771e-07,2.6271e-07,1.3417e-07,8000,-2937.1,-3500.8
