"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
9.585e-07,1.4646e-07,3.0485e-07,8000,-2558.3,-4282
9.585e-07,1.4646e-07,3.0485e-07,8000,-2558.3,-4282
9.585e-07,1.4646e-07,3.0485e-07,8000,-2558.3,-4282
1.1487e-07,5.3721e-08,-5.8283e-09,8000,-3185.7,-4895.1
7.8523e-08,4.267e-08,-3.1463e-09,8000,-3259.6,-5000
1.044e-07,2.6845e-08,9.6128e-09,8000,-3129.1,-5000
2.3933e-07,-2.4342e-07,1.1367e-08,8000,-1853.6,-3250.1
1.6833e-07,-1.7441e-07,-1.8541e-08,8000,-1820.1,-3332.4
2.3933e-07,-2.4342e-07,1.1367e-08,8000,-1853.6,-3250.1
1.1487e-07,5.3721e-08,-5.8283e-09,8000,-3185.7,-4895.1
1.4962e-07,1.4596e-08,2.5212e-08,8000,-3064.4,-4721.6
1.2436e-07,3.9229e-08,3.5442e-08,8000,-3283.4,-4694.6
6.6106e-07,5.4033e-07,1.8316e-07,8000,-2803.8,-3220.6
6.6106e-07,5.4033e-07,1.8316e-07,8000,-2803.8,-3220.6
6.6106e-07,5.4033e-07,1.8316e-07,8000,-2803.8,-3220.6
4.7869e-07,1.202e-07,-1.035e-07,8000,-3062.1,-3743.6
4.7869e-07,1.202e-07,-1.035e-07,8000,-3062.1,-3743.6
4.7869e-07,1.202e-07,-1.035e-07,8000,-3062.1,-3743.6
2.4222e-07,1.5194e-07,7.1223e-08,8000,-2907.2,-4559.9
2.4222e-07,1.5194e-07,7.1223e-08,8000,-2907.2,-4559.9
2.4222e-07,1.5194e-07,7.1223e-08,8000,-2907.2,-4559.9
3.7443e-07,-6.6256e-08,-8.7117e-10,8000,-2777.2,-4304.7
3.7443e-07,-6.6256e-08,-8.7117e-10,8000,-2777.2,-4304.7
3.7443e-07,-6.6256e-08,-8.7117e-10,8000,-2777.2,-4304.7
4.6614e-07,1.4113e-07,2.0312e-07,8000,-2937.1,-3500.8
6.6106e-07,5.4033e-07,1.8316e-07,8000,-2803.8,-3220.6
4.6614e-07,1.4113e-07,2.0312e-07,8000,-2937.1,-3500.8
4.6614e-07,1.4113e-07,2.0312e-07,8000,-2937.1,-3500.8
6.6106e-07,5.4033e-07,1.8316e-07,8000,-2803.8,-3220.6
6.6106e-07,5.4033e-07,1.8316e-07,8000,-2803.8,-3220.6
6.248e-08,-1.7453e-07,1.2824e-09,8000,-1653.8,-3791.8
6.248e-08,-1.7453e-07,1.2824e-09,8000,-1653.8,-3791.8
6.248e-08,-1.7453e-07,1.2824e-09,8000,-1653.8,-3791.8
2.3933e-07,-2.4342e-07,1.1367e-08,8000,-1853.6,-3250.1
2.3933e-07,-2.4342e-07,1.1367e-08,8000,-1853.6,-3250.1
2.3933e-07,-2.4342e-07,1.1367e-08,8000,-1853.6,-3250.1
3.7443e-07,-6.6256e-08,-8.7117e-10,8000,-2777.2,-4304.7
3.7443e-07,-6.6256e-08,-8.7117e-10,8000,-2777.2,-4304.7
3.7443e-07,-6.6256e-08,-8.7117e-10,8000,-2777.2,-4304.7
2.8302e-06,-7.154e-07,2.4367e-07,8000,-2560.9,-3773.3
2.8302e-06,-7.154e-07,2.4367e-07,8000,-2560.9,-3773.3
2.8302e-06,-7.154e-07,2.4367e-07,8000,-2560.9,-3773.3
2.3933e-07,-2.4342e-07,1.1367e-08,8000,-1853.6,-3250.1
1.6833e-07,-1.7441e-07,-1.8541e-08,8000,-1820.1,-3332.4
2.3933e-07,-2.4342e-07,1.1367e-08,8000,-1853.6,-3250.1
4.7869e-07,1.202e-07,-1.035e-07,8000,-3062.1,-3743.6
4.7869e-07,1.202e-07,-1.035e-07,8000,-3062.1,-3743.6
4.7869e-07,1.202e-07,-1.035e-07,8000,-3062.1,-3743.6
4.6614e-07,1.4113e-07,2.0312e-07,8000,-2937.1,-3500.8
4.6614e-07,1.4113e-07,2.0312e-07,8000,-2937.1,-3500.8
1.1794e-06,4.8926e-07,5.3682e-08,8000,-2802.9,-3778
1.1794e-06,4.8926e-07,5.3682e-08,8000,-2802.9,-3778
4.6614e-07,1.4113e-07,2.0312e-07,8000,-2937.1,-3500.8
1.1794e-06,4.8926e-07,5.3682e-08,8000,-2802.9,-3778
