"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
3.4513e-07,6.6652e-09,1.3399e-07,8000,-2558.3,-4282
3.4513e-07,6.6652e-09,1.3399e-07,8000,-2558.3,-4282
3.4513e-07,6.6652e-09,1.3399e-07,8000,-2558.3,-4282
1.0104e-07,5.9432e-08,2.3313e-08,8000,-3185.7,-4895.1
8.4143e-08,3.6372e-08,2.8869e-08,8000,-3259.6,-5000
1.0097e-07,3.6208e-08,4.018e-08,8000,-3129.1,-5000
2.0803e-07,-2.4638e-07,5.0333e-08,8000,-1853.6,-3250.1
1.8964e-07,-2.2878e-07,4.0064e-08,8000,-1820.1,-3332.4
2.0803e-07,-2.4638e-07,5.0333e-08,8000,-1853.6,-3250.1
1.0104e-07,5.9432e-08,2.3313e-08,8000,-3185.7,-4895.1
1.4741e-07,8.055e-08,8.284e-08,8000,-3064.4,-4721.6
1.1524e-07,2.6876e-08,4.907e-08,8000,-3283.4,-4694.6
3.7137e-07,1.4524e-07,-6.7043e-08,8000,-2803.8,-3220.6
3.7137e-07,1.4524e-07,-6.7043e-08,8000,-2803.8,-3220.6
3.7137e-07,1.4524e-07,-6.7043e-08,8000,-2803.8,-3220.6
3.0386e-07,2.0643e-07,6.0458e-08,8000,-3062.1,-3743.6
3.0386e-07,2.0643e-07,6.0458e-08,8000,-3062.1,-3743.6
3.0386e-07,2.0643e-07,6.0458e-08,8000,-3062.1,-3743.6
2.0625e-07,8.5586e-08,1.1593e-07,8000,-2907.2,-4559.9
2.0625e-07,8.5586e-08,1.1593e-07,8000,-2907.2,-4559.9
2.0625e-07,8.5586e-08,1.1593e-07,8000,-2907.2,-4559.9
2.8721e-07,1.3046e-07,1.3423e-07,8000,-2777.2,-4304.7
2.8721e-07,1.3046e-07,1.3423e-07,8000,-2777.2,-4304.7
2.8721e-07,1.3046e-07,1.3423e-07,8000,-2777.2,-4304.7
3.4871e-07,2.1782e-07,2.107e-08,8000,-2937.1,-3500.8
3.7137e-07,1.4524e-07,-6.7043e-08,8000,-2803.8,-3220.6
3.4871e-07,2.1782e-07,2.107e-08,8000,-2937.1,-3500.8
3.4871e-07,2.1782e-07,2.107e-08,8000,-2937.1,-3500.8
3.7137e-07,1.4524e-07,-6.7043e-08,8000,-2803.8,-3220.6
3.7137e-07,1.4524e-07,-6.7043e-08,8000,-2803.8,-3220.6
1.4288e-07,-1.8699e-07,-4.0486e-08,8000,-1653.8,-3791.8
1.4288e-07,-1.8699e-07,-4.0486e-08,8000,-1653.8,-3791.8
1.4288e-07,-1.8699e-07,-4.0486e-08,8000,-1653.8,-3791.8
