"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
9.5852e-07,1.4638e-07,3.0485e-07,8000,-2558.3,-4282
9.5852e-07,1.4638e-07,3.0485e-07,8000,-2558.3,-4282
9.5852e-07,1.4638e-07,3.0485e-07,8000,-2558.3,-4282
1.1487e-07,5.3726e-08,-5.8271e-09,8000,-3185.7,-4895.1
7.8525e-08,4.268e-08,-3.1503e-09,8000,-3259.6,-5000
1.044e-07,2.6845e-08,9.6102e-09,8000,-3129.1,-5000
2.3935e-07,-2.4349e-07,1.1313e-08,8000,-1853.6,-3250.1
1.6833e-07,-1.7445e-07,-1.862e-08,8000,-1820.1,-3332.4
2.3935e-07,-2.4349e-07,1.1313e-08,8000,-1853.6,-3250.1
1.1487e-07,5.3726e-08,-5.8271e-09,8000,-3185.7,-4895.1
1.4961e-07,1.4576e-08,2.522e-08,8000,-3064.4,-4721.6
1.2436e-07,3.9253e-08,3.546e-08,8000,-3283.4,-4694.6
6.6097e-07,5.4026e-07,1.8323e-07,8000,-2803.8,-3220.6
6.6097e-07,5.4026e-07,1.8323e-07,8000,-2803.8,-3220.6
6.6097e-07,5.4026e-07,1.8323e-07,8000,-2803.8,-3220.6
4.7874e-07,1.2031e-07,-1.0348e-07,8000,-3062.1,-3743.6
4.7874e-07,1.2031e-07,-1.0348e-07,8000,-3062.1,-3743.6
4.7874e-07,1.2031e-07,-1.0348e-07,8000,-3062.1,-3743.6
2.4223e-07,1.5198e-07,7.1246e-08,8000,-2907.2,-4559.9
2.4223e-07,1.5198e-07,7.1246e-08,8000,-2907.2,-4559.9
2.4223e-07,1.5198e-07,7.1246e-08,8000,-2907.2,-4559.9
3.7445e-07,-6.628e-08,-8.6725e-10,8000,-2777.2,-4304.7
3.7445e-07,-6.628e-08,-8.6725e-10,8000,-2777.2,-4304.7
3.7445e-07,-6.628e-08,-8.6725e-10,8000,-2777.2,-4304.7
4.6606e-07,1.4112e-07,2.0317e-07,8000,-2937.1,-3500.8
6.6097e-07,5.4026e-07,1.8323e-07,8000,-2803.8,-3220.6
4.6606e-07,1.4112e-07,2.0317e-07,8000,-2937.1,-3500.8
4.6606e-07,1.4112e-07,2.0317e-07,8000,-2937.1,-3500.8
6.6097e-07,5.4026e-07,1.8323e-07,8000,-2803.8,-3220.6
6.6097e-07,5.4026e-07,1.8323e-07,8000,-2803.8,-3220.6
6.2469e-08,-1.7457e-07,1.3458e-09,8000,-1653.8,-3791.8
6.2469e-08,-1.7457e-07,1.3458e-09,8000,-1653.8,-3791.8
6.2469e-08,-1.7457e-07,1.3458e-09,8000,-1653.8,-3791.8
2.3935e-07,-2.4349e-07,1.1313e-08,8000,-1853.6,-3250.1
2.3935e-07,-2.4349e-07,1.1313e-08,8000,-1853.6,-3250.1
2.3935e-07,-2.4349e-07,1.1313e-08,8000,-1853.6,-3250.1
3.7445e-07,-6.628e-08,-8.6725e-10,8000,-2777.2,-4304.7
3.7445e-07,-6.628e-08,-8.6725e-10,8000,-2777.2,-4304.7
3.7445e-07,-6.628e-08,-8.6725e-10,8000,-2777.2,-4304.7
2.8306e-06,-7.1529e-07,2.4372e-07,8000,-2560.9,-3773.3
2.8306e-06,-7.1529e-07,2.4372e-07,8000,-2560.9,-3773.3
2.8306e-06,-7.1529e-07,2.4372e-07,8000,-2560.9,-3773.3
2.3935e-07,-2.4349e-07,1.1313e-08,8000,-1853.6,-3250.1
1.6833e-07,-1.7445e-07,-1.862e-08,8000,-1820.1,-3332.4
2.3935e-07,-2.4349e-07,1.1313e-08,8000,-1853.6,-3250.1
4.7874e-07,1.2031e-07,-1.0348e-07,8000,-3062.1,-3743.6
4.7874e-07,1.2031e-07,-1.0348e-07,8000,-3062.1,-3743.6
4.7874e-07,1.2031e-07,-1.0348e-07,8000,-3062.1,-3743.6
4.6606e-07,1.4112e-07,2.0317e-07,8000,-2937.1,-3500.8
4.6606e-07,1.4112e-07,2.0317e-07,8000,-2937.1,-3500.8
1.1793e-06,4.89e-07,5.3631e-08,8000,-2802.9,-3778
1.1793e-06,4.89e-07,5.3631e-08,8000,-2802.9,-3778
4.6606e-07,1.4112e-07,2.0317e-07,8000,-2937.1,-3500.8
1.1793e-06,4.89e-07,5.3631e-08,8000,-2802.9,-3778
9.2511e-07,-1.5417e-07,2.0657e-07,8000,-1691.9,-2568.1
9.2511e-07,-1.5417e-07,2.0657e-07,8000,-1691.9,-2568.1
9.2511e-07,-1.5417e-07,2.0657e-07,8000,-1691.9,-2568.1
1.3668e-06,1.4691e-07,-6.7338e-08,8000,-2666.3,-4053.3
2.8306e-06,-7.1529e-07,2.4372e-07,8000,-2560.9,-3773.3
1.3668e-06,1.4691e-07,-6.7338e-08,8000,-2666.3,-4053.3
1.3668e-06,1.4691e-07,-6.7338e-08,8000,-2666.3,-4053.3
2.8306e-06,-7.1529e-07,2.4372e-07,8000,-2560.9,-3773.3
2.8306e-06,-7.1529e-07,2.4372e-07,8000,-2560.9,-3773.3
-6.6606e-08,-3.6343e-08,1.4509e-07,8000,-1647.1,-4114.8
-6.6606e-08,-3.6343e-08,1.4509e-07,8000,-1647.1,-4114.8
-6.6606e-08,-3.6343e-08,1.4509e-07,8000,-1647.1,-4114.8
8.009e-07,1.7117e-07,-1.6277e-07,8000,-2669.7,-2945.4
8.009e-07,1.7117e-07,-1.6277e-07,8000,-2669.7,-2945.4
8.009e-07,1.7117e-07,-1.6277e-07,8000,-2669.7,-2945.4
6.6097e-07,5.4026e-07,1.8323e-07,8000,-2803.8,-3220.6
6.6097e-07,5.4026e-07,1.8323e-07,8000,-2803.8,-3220.6
8.009e-07,1.7117e-07,-1.6277e-07,8000,-2669.7,-2945.4
8.009e-07,1.7117e-07,-1.6277e-07,8000,-2669.7,-2945.4
6.6097e-07,5.4026e-07,1.8323e-07,8000,-2803.8,-3220.6
8.009e-07,1.7117e-07,-1.6277e-07,8000,-2669.7,-2945.4
9.5852e-07,1.4638e-07,3.0485e-07,8000,-2558.3,-4282
9.5852e-07,1.4638e-07,3.0485e-07,8000,-2558.3,-4282
9.5852e-07,1.4638e-07,3.0485e-07,8000,-2558.3,-4282
9.5852e-07,1.4638e-07,3.0485e-07,8000,-2558.3,-4282
9.5852e-07,1.4638e-07,3.0485e-07,8000,-2558.3,-4282
1.3668e-06,1.4691e-07,-6.7338e-08,8000,-2666.3,-4053.3
1.3668e-06,1.4691e-07,-6.7338e-08,8000,-2666.3,-4053.3
9.5852e-07,1.4638e-07,3.0485e-07,8000,-2558.3,-4282
1.3668e-06,1.4691e-07,-6.7338e-08,8000,-2666.3,-4053.3
2.3935e-07,-2.4349e-07,1.1313e-08,8000,-1853.6,-3250.1
2.3935e-07,-2.4349e-07,1.1313e-08,8000,-1853.6,-3250.1
2.3935e-07,-2.4349e-07,1.1313e-08,8000,-1853.6,-3250.1
1.3668e-06,1.4691e-07,-6.7338e-08,8000,-2666.3,-4053.3
1.3668e-06,1.4691e-07,-6.7338e-08,8000,-2666.3,-4053.3
1.3668e-06,1.4691e-07,-6.7338e-08,8000,-2666.3,-4053.3
