"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
1.3393e-06,-5.1611e-07,-2.1766e-07,8000,-2598.3,-3131.7
1.5974e-06,-8.6167e-07,-2.5046e-07,8000,-2562.5,-3224.9
6.8513e-07,5.5051e-07,1.4896e-07,8000,-2803.8,-3220.6
2.3299e-07,1.2795e-07,-2.7013e-08,8000,-2741.4,-2285
1.5809e-07,7.9214e-08,-3.4821e-08,8000,-2656.3,-2090.3
2.3299e-07,1.2795e-07,-2.7013e-08,8000,-2741.4,-2285
2.3299e-07,1.2795e-07,-2.7013e-08,8000,-2741.4,-2285
1.7527e-07,5.2484e-08,-2.3017e-08,8000,-2871.4,-2177.3
2.3299e-07,1.2795e-07,-2.7013e-08,8000,-2741.4,-2285
2.3299e-07,1.2795e-07,-2.7013e-08,8000,-2741.4,-2285
1.456e-07,7.0508e-09,-1.4213e-08,8000,-2928.7,-2440.5
2.3299e-07,1.2795e-07,-2.7013e-08,8000,-2741.4,-2285
5.4776e-07,-2.0068e-08,-1.3494e-07,8000,-2568.7,-2717.5
6.3959e-07,4.4961e-08,-1.4065e-07,8000,-2602.4,-2793.5
5.4776e-07,-2.0068e-08,-1.3494e-07,8000,-2568.7,-2717.5
9.9502e-08,-1.0864e-07,-9.1396e-08,8000,-2249.9,-2328
4.413e-07,-4.1669e-07,-9.3679e-08,8000,-2227.3,-2570.7
3.6632e-07,9.853e-08,-3.4732e-08,8000,-2437,-2517.3
2.3867e-07,1.6986e-08,1.6802e-08,8000,-3163.3,-4495.4
2.4502e-07,1.6171e-07,7.4317e-08,8000,-2907.2,-4559.9
1.4737e-07,2.0239e-08,3.19e-08,8000,-3064.4,-4721.6
1.2456e-07,5.4154e-08,2.3572e-08,8000,-3350.1,-2501
7.728e-08,1.7775e-08,2.4985e-08,8000,-3441.3,-2501.7
3.5612e-08,4.6395e-08,4.1511e-08,8000,-3323.4,-2690.9
1.6901e-07,3.1361e-08,-3.885e-09,8000,-3414.1,-3952.6
1.9775e-07,5.3331e-08,1.2207e-08,8000,-3500,-3825
1.5002e-07,1.7824e-08,-3.2762e-09,8000,-3500,-3963.3
2.1011e-08,-3.5156e-08,-8.4669e-08,8000,-1753.2,-3496.9
5.8921e-08,-1.7844e-07,3.5434e-09,8000,-1653.8,-3791.8
9.0101e-09,-4.393e-08,-2.9921e-09,8000,-1820.2,-3661.8
6.0542e-08,2.9096e-09,1.4984e-09,8000,-3497.6,-4954.7
5.777e-08,1.0366e-09,-2.4012e-10,8000,-3500,-4908.1
5.8531e-08,1.3547e-09,4.7268e-10,8000,-3455,-4919.8
2.3299e-07,1.2795e-07,-2.7013e-08,8000,-2741.4,-2285
1.7527e-07,5.2484e-08,-2.3017e-08,8000,-2871.4,-2177.3
1.5809e-07,7.9214e-08,-3.4821e-08,8000,-2656.3,-2090.3
1.6901e-07,3.1361e-08,-3.885e-09,8000,-3414.1,-3952.6
1.5002e-07,1.7824e-08,-3.2762e-09,8000,-3500,-3963.3
1.6901e-07,3.1361e-08,-3.885e-09,8000,-3414.1,-3952.6
5.4404e-07,5.2141e-09,1.4369e-07,8000,-2937.4,-2952.7
3.1042e-07,1.5793e-07,1.7809e-08,8000,-3243.8,-2889.2
1.2958e-07,1.9356e-07,3.6157e-08,8000,-3190.8,-3085.2
5.4776e-07,-2.0068e-08,-1.3494e-07,8000,-2568.7,-2717.5
3.3773e-07,2.5801e-07,-4.0954e-08,8000,-2799.3,-2697.2
4.4983e-07,1.2578e-07,-4.1599e-08,8000,-2680,-2505.6
1.6901e-07,3.1361e-08,-3.885e-09,8000,-3414.1,-3952.6
2.1118e-07,5.8557e-08,3.1874e-08,8000,-3315.5,-3705.3
1.9344e-07,2.553e-07,3.8121e-08,8000,-3195.6,-3931.9
5.4404e-07,5.2141e-09,1.4369e-07,8000,-2937.4,-2952.7
3.1042e-07,1.5793e-07,1.7809e-08,8000,-3243.8,-2889.2
2.0075e-07,1.1959e-07,-9.2727e-08,8000,-3059.6,-2687.8
1.456e-07,7.0508e-09,-1.4213e-08,8000,-2928.7,-2440.5
2.3299e-07,1.2795e-07,-2.7013e-08,8000,-2741.4,-2285
4.4983e-07,1.2578e-07,-4.1599e-08,8000,-2680,-2505.6
